FAMILY	GENUS	SPECIES	CAAB CODE			
Acanthoclinidae			37319000			
Acanthuridae			37437900			
"Acanthuridae, Zanclidae"			37437000			
Achiropsettidae			37460923			
Acropomatidae			37311956			
"Acropomatidae, Percichthyidae, Serranidae, Polyprionidae, Moronidae, Callanthiidae, Centrogeniidae, Ostracoberycidae"			37311000			
Agneziidae			35001000			
Albulidae			37055000			
Alepisauridae			37128000			
Alepocephalidae			37114000			
Alopiidae			37012000			
Ambassidae			37310900			
Ammodytidae			37425000			
Ammotheidae			33012000			
Anabantidae			37450000			
Anacanthobatidae			37033000			
Anguillidae			37056000			
Anomalopidae			37260000			
Anoplogastridae			37257000			
Anotopteridae			37129000			
Antennariidae			37210000			
Aphyonidae			37228959			
"Aphyonidae, Bythitidae, Ophidiidae, Parabrotulidae"			37228000			
Apistidae			37287946			
"Apistidae, Neosebastidae, Pteroidae, Scorpaenidae, Sebastidae, Setarchidae, Synanceiidae, Tetrarogidae"			37287000			
Aploactinidae			37290000			
Aplochitonidae			37103903			
"Aplochitonidae, Prototroctidae"			37103000			
Aplodactylidae			37376000			
Apogonidae			37327926			
"Apogonidae, Dinolestidae"			37327000			
Argentinidae			37097000			
Arhynchobatidae			37031915			
Ariidae			37188000			
Ariommatidae			37447000			
Arripidae			37344000			
Artedidraconidae			37405000			
Ascidiidae			35002000			
Astronesthidae			37108000			
Ateleopodidae			37136000			
Atherinidae			37246000			
Aulopidae			37117000			
Aulostomidae			37277000			
Austrodecidae			33019000			
Balistidae			37465900			
"Balistidae, Monacanthidae"			37465000			
Banjosidae			37322000			
Barbourisiidae			37134000			
Bathyclupeidae			37358000			
Bathydraconidae			37406000			
Bathygadidae			37232930			
Bathylagidae			37098000			
Bathysauridae			37118905			
"Bathysauridae, Synodontidae"			37118000			
Bathysauroididae			37120908			
Bathysauropsidae			37120909			
Batrachoididae			37205000			
Belonidae			37235000			
Berycidae			37258000			
Blenniidae			37408000			
Bothidae			37460082			
"Bothidae, Achiropsettidae, Paralichthyidae"			37460000			
Bovichtidae			37403000			
Brachaeluridae			37013910			
