FAMILY	GENUS	SPECIES	CAAB CODE
Acanthoclinidae	Beliops	xanthokrossos	37319001
Acanthoclinidae	Belonepterygion	fasciolatum	37319002
Acanthuridae	Acanthurus	albipectoralis	37437004
Acanthuridae	Acanthurus	auranticavus	37437005
Acanthuridae	Acanthurus	bariene	37437006
Acanthuridae	Acanthurus	blochii	37437007
Acanthuridae	Acanthurus	dussumieri	37437008
Acanthuridae	Acanthurus	fowleri	37437044
Acanthuridae	Acanthurus	grammoptilus	37437002
Acanthuridae	Acanthurus	guttatus	37437009
Acanthuridae	Acanthurus	leucocheilus	37437053
Acanthuridae	Acanthurus	leucosternon	37437054
Acanthuridae	Acanthurus	lineatus	37437010
Acanthuridae	Acanthurus	maculiceps	37437041
Acanthuridae	Acanthurus	mata	37437011
Acanthuridae	Acanthurus	nigricans	37437012
Acanthuridae	Acanthurus	nigricauda	37437013
Acanthuridae	Acanthurus	nigrofuscus	37437014
Acanthuridae	Acanthurus	nigros	37437015
Acanthuridae	Acanthurus	olivaceus	37437016
Acanthuridae	Acanthurus	pyroferus	37437017
Acanthuridae	Acanthurus	tennentii	37437050
Acanthuridae	Acanthurus	thompsoni	37437018
Acanthuridae	Acanthurus	triostegus	37437019
Acanthuridae	Acanthurus	tristis	37437051
Acanthuridae	Acanthurus	xanthopterus	37437020
Acanthuridae	Ctenochaetus	binotatus	37437021
Acanthuridae	Ctenochaetus	cyanocheilus	37437023
Acanthuridae	Ctenochaetus	striatus	37437022
Acanthuridae	Ctenochaetus	tominiensis	37437042
Acanthuridae	Ctenochaetus	truncatus	37437055
Acanthuridae	Naso	annulatus	37437024
Acanthuridae	Naso	brachycentron	37437025
Acanthuridae	Naso	brevirostris	37437026
Acanthuridae	Naso	caeruleacauda	37437045
Acanthuridae	Naso	caesius	37437046
Acanthuridae	Naso	elegans	37437052
Acanthuridae	Naso	fageni	37437027
Acanthuridae	Naso	hexacanthus	37437028
Acanthuridae	Naso	lituratus	37437029
Acanthuridae	Naso	lopezi	37437030
Acanthuridae	Naso	maculatus	37437038
Acanthuridae	Naso	mcdadei	37437003
Acanthuridae	Naso	minor	37437043
Acanthuridae	Naso	reticulatus	37437049
Acanthuridae	Naso	thorpei	37437039
Acanthuridae	Naso	thynnoides	37437040
Acanthuridae	Naso	tonganus	37437047
Acanthuridae	Naso	tuberosus	37437048
Acanthuridae	Naso	unicornis	37437031
Acanthuridae	Naso	vlamingii	37437032
Acanthuridae	Paracanthurus	hepatus	37437033
Acanthuridae	Prionurus	maculatus	37437034
Acanthuridae	Prionurus	microlepidotus	37437035
Acanthuridae	Zebrasoma	desjardinii	37437056
Acanthuridae	Zebrasoma	scopas	37437036
Acanthuridae	Zebrasoma	veliferum	37437037
Achiropsettidae	Mancopsetta	maculata	37460076
Achiropsettidae	Neoachiropsetta	milfordi	37460052
Acrochordidae	Acrochordus	arafurae	39120001
Acrochordidae	Acrochordus	granulatus	39120002
Acropomatidae	Acropoma	japonicum	37311167
Acropomatidae	Apogonops	anomalus	37311053
Acropomatidae	Doederleinia	berycoides	37311025
Acropomatidae	Malakichthys	barbatus	37311186
Acropomatidae	Malakichthys	elegans	37311048
Acropomatidae	Malakichthys	griseus	37311187
Acropomatidae	Malakichthys	levis	37311031
Acropomatidae	Malakichthys	mochizuki	37311184
Acropomatidae	Synagrops	analis	37311191
Acropomatidae	Synagrops	japonicus	37311054
Acropomatidae	Synagrops	philippinensis	37311028
Acropomatidae	Synagrops	serratospinosus	37311185
Albulidae	Albula	argentea	37055001
Albulidae	Albula	oligolepis	37055002
Alepisauridae	Alepisaurus	brevirostris	37128002
Alepisauridae	Alepisaurus	ferox	37128001
Alepocephalidae	Alepocephalus	australis	37114014
Alepocephalidae	Alepocephalus	bicolor	37114003
Alepocephalidae	Alepocephalus	longiceps	37114029
Alepocephalidae	Alepocephalus	longirostris	37114043
Alepocephalidae	Alepocephalus	owstoni	37114042
