3D Point and Length Measurements

Generated: Monday, August 27, 2018 09:59:42

Filename	Frame	Time (mins)	Period	Period time (mins)	Length (mm)	Precision (mm)	RMS (mm)	Range (mm)	Direction (deg)	Horz. Dir. (deg)	Vert. Dir. (deg)	Mid X (mm)	Mid Y (mm)	Mid Z (mm)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment	Incoming	MAD
MaIR2_L461.avi	  43082	  11.9792	1	   0.0120	184.558	26.989	6.467	4842.541	29.087	71.122	7.877	2248.462	697.334	-4231.826	MaIR2	Brooke											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaIR2_L461.avi	  43123	  11.9906	1	   0.0234	131.760	9.907	1.407	3371.042	6.535	34.877	2.924	-216.174	316.989	-3349.136	MaIR2	Brooke											Balistidae	Sufflamen	bursa	37465078	1	AD	Passing			
MaIR2_L461.avi	  43179	  12.0062	1	   0.0389		1.605	0.911	1716.159	23.155			672.131	-51.807	-1578.213	MaIR2	Brooke											Cirrhitidae	Neocirrhites	armatus	37374007	1	AD	Passing			
MaIR2_L461.avi	  43199	  12.0117	1	   0.0445		1.216	0.937	1461.575	22.732			542.958	-148.155	-1348.869	MaIR2	Brooke											Cirrhitidae	Neocirrhites	armatus	37374007	1	AD	Passing			
MaIR2_L461.avi	  43200	  12.0120	1	   0.0448		10.345	1.107	4637.936	27.725			-2140.048	297.620	-4103.909	MaIR2	Brooke											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaIR2_L461.avi	  43334	  12.0493	1	   0.0820		1.137	0.860	1392.286	9.816			-185.148	-141.066	-1372.691	MaIR2	Brooke											Labridae	Stethojulis	bandanensis	37384154	1	AD	Passing			
MaIR2_L461.avi	  43349	  12.0534	1	   0.0862		2.004	4.093	1936.252	24.431			-788.808	-128.583	-1763.610	MaIR2	Brooke											Balistidae	Sufflamen	bursa	37465078	1	AD	Passing			
MaIR2_L461.avi	  43368	  12.0587	1	   0.0915	66.763	0.947	0.804	1251.789	10.091	12.540	5.521	84.300	-202.483	-1232.425	MaIR2	Brooke											Labridae	Stethojulis	bandanensis	37384154	1	AD	Passing			
MaIR2_L461.avi	  43385	  12.0635	1	   0.0962		12.678	2.908	5104.218	28.671			2363.448	665.728	-4474.814	MaIR2	Brooke											Acanthuridae	Acanthurus	pyroferus	37437017	1	AD	Passing			
MaIR2_L461.avi	  43453	  12.0824	1	   0.1151		9.218	1.375	4342.876	28.864			2029.981	544.492	-3800.432	MaIR2	Brooke											Pomacanthidae	Centropyge	flavissima	37365026	1	AD	Passing			
MaIR2_L461.avi	  43599	  12.1230	1	   0.1557		6.039	0.335	3510.890	25.308			-1500.069	-30.646	-3174.146	MaIR2	Brooke											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaIR2_L461.avi	  43615	  12.1274	1	   0.1602		28.771	12.248	8431.979	4.630			617.908	331.192	-8402.783	MaIR2	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing			
MaIR2_L461.avi	  43633	  12.1324	1	   0.1652		1.869	2.544	1882.052	9.522			138.764	-268.569	-1857.615	MaIR2	Brooke											Labridae	Stethojulis	bandanensis	37384154	1	AD	Passing			
MaIR2_L461.avi	  43659	  12.1396	1	   0.1724		4.986	4.561	3138.371	25.625			-1291.491	-401.992	-2831.930	MaIR2	Brooke											Cirrhitidae	Paracirrhites	arcatus	37374009	1	AD	Passing			
MaIR2_L461.avi	  43707	  12.1530	1	   0.1857	79.895	2.938	2.603	1589.849	11.473	49.019	6.446	30.159	-314.785	-1558.083	MaIR2	Brooke											Cirrhitidae	Paracirrhites	arcatus	37374009	1	AD	Passing			
MaIR2_L461.avi	  43742	  12.1627	1	   0.1955		32.593	7.731	8488.465	16.557			2377.602	-401.152	-8138.804	MaIR2	Brooke											Chaetodontidae	Chaetodon	lunula	37365042	1	AD	Passing			
MaIR2_L461.avi	  43803	  12.1797	1	   0.2124	135.685	8.556	2.456	3152.351	19.940	34.494	12.120	979.516	-443.058	-2963.371	MaIR2	Brooke											Labridae	Thalassoma	quinquevittatum	37384170	1	AD	Passing			
MaIR2_L461.avi	  44020	  12.2400	1	   0.2728	204.513	16.267	4.343	5173.252	15.715	19.158	1.366	-1393.194	149.629	-4979.876	MaIR2	Brooke											Balistidae	Melichthys	niger	37465081	1	AD	Passing			
MaIR2_L461.avi	  44031	  12.2431	1	   0.2758		1.319	0.569	1516.306	22.433			-480.492	-314.762	-1403.294	MaIR2	Brooke											Cirrhitidae	Paracirrhites	arcatus	37374009	1	AD	Passing			
MaIR2_L461.avi	  44082	  12.2573	1	   0.2900	129.544	14.543	5.700	4301.824	1.974	31.000	2.049	-95.765	-113.097	-4299.271	MaIR2	Brooke											Balistidae	Balistapus	undulatus	37465047	1	AD	Passing			
MaIR2_L461.avi	  44149	  12.2759	1	   0.3086		6.530	6.594	3670.054	18.697			-1170.495	137.226	-3475.688	MaIR2	Brooke											Labridae	Gomphosus	varius	37384106	1	AD	Passing			
MaIR2_L461.avi	  44195	  12.2887	1	   0.3214		3.667	0.722	2685.718	26.116			-1159.554	-217.195	-2412.745	MaIR2	Brooke											Labridae	Stethojulis	bandanensis	37384154	1	AD	Passing			
MaIR2_L461.avi	  44256	  12.3056	1	   0.3384	70.135	1.755	0.552	1277.252	12.502	49.128	29.965	165.689	-221.347	-1246.967	MaIR2	Brooke											Acanthuridae	Ctenochaetus	binotatus	37437021	1	AD	Passing			
MaIR2_L461.avi	  44319	  12.3232	1	   0.3559	73.268	3.550	0.948	1741.219	24.739	70.456	23.013	711.051	-159.350	-1581.410	MaIR2	Brooke											Acanthuridae	Ctenochaetus	binotatus	37437021	1	AD	Passing			
MaIR2_L461.avi	  44352	  12.3323	1	   0.3651		29.496	0.066	8152.481	14.238			-1987.085	-224.892	-7903.408	MaIR2	Brooke											Balistidae	Melichthys	vidua	37465058	1	AD	Passing			
