3D Point and Length Measurements

Generated: Tuesday, February 12, 2019 13:05:57

Filename	Frame	Time (mins)	Period	Period time (mins)	Length (mm)	Precision (mm)	RMS (mm)	Range (mm)	Direction (deg)	Horz. Dir. (deg)	Vert. Dir. (deg)	Mid X (mm)	Mid Y (mm)	Mid Z (mm)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment	Incoming	MAD
NOL3S_L461.avi	  50636	  14.0796	1	   0.0475	216.935	4.764	3.728	3291.564	10.442	12.960	12.624	-548.971	-233.484	-3237.053	NOL3S	Brooke											Labridae	Gomphosus	varius	37384106	1	AD	Passing			
NOL3S_L461.avi	  50733	  14.1066	1	   0.0745	160.638	4.600	3.198	2016.061	9.438	46.858	0.090	-269.889	-190.922	-1988.771	NOL3S	Brooke											Mullidae	Parupeneus	multifasciatus	37355026	1	AD	Passing			
NOL3S_L461.avi	  50733	  14.1066	1	   0.0745	154.281	2.054	0.589	2033.172	14.620	9.612	9.685	-468.204	-210.139	-1967.337	NOL3S	Brooke											Labridae	Halichoeres	hortulanus	37384112	1	AD	Passing			
NOL3S_L461.avi	  50777	  14.1188	1	   0.0868	163.916	4.638	2.169	2693.233	25.271	7.384	5.940	-1147.229	-75.678	-2435.496	NOL3S	Brooke											Scaridae	Scarus	globiceps	37386018	1	AD	Passing			
NOL3S_L461.avi	  50778	  14.1191	1	   0.0870	171.953	14.055	2.075	3404.172	2.683	53.427	6.504	49.151	-151.550	-3400.441	NOL3S	Brooke											Scaridae	Scarus	globiceps	37386018	1	AD	Passing			
NOL3S_L461.avi	  50785	  14.1210	1	   0.0890	124.387	9.590	9.363	2949.000	3.047	49.190	17.988	134.788	-80.025	-2944.831	NOL3S	Brooke											Scaridae	Scarus	globiceps	37386018	1	AD	Passing			
NOL3S_L461.avi	  50799	  14.1249	1	   0.0929	195.306	15.450	13.218	4108.989	10.553	36.757	2.877	741.389	-129.184	-4039.485	NOL3S	Brooke											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
NOL3S_L461.avi	  50799	  14.1249	1	   0.0929	120.136	2.978	7.635	3403.121	6.261	3.631	5.754	371.008	-10.244	-3382.822	NOL3S	Brooke											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
NOL3S_L461.avi	  50861	  14.1422	1	   0.1101	152.605	7.840	7.702	3519.752	11.719	21.963	4.374	711.655	-68.341	-3446.380	NOL3S	Brooke											Scaridae	Scarus	globiceps	37386018	1	AD	Passing			
NOL3S_L461.avi	  50903	  14.1538	1	   0.1218		4.423	14.107	2972.452	20.511			1024.894	200.563	-2782.955	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  50959	  14.1694	1	   0.1374		5.709	8.508	3422.261	27.053			1556.454	28.718	-3047.704	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  50964	  14.1708	1	   0.1387		12.910	0.565	5216.120	24.259			2140.676	128.257	-4754.889	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  50964	  14.1708	1	   0.1387		14.702	5.229	5585.709	23.575			2233.760	57.890	-5119.287	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  50964	  14.1708	1	   0.1387		13.364	1.636	5324.096	21.810			1977.842	54.808	-4942.786	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51029	  14.1889	1	   0.1568		7.515	5.550	3917.078	25.191			1645.182	289.650	-3543.019	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		9.325	0.521	4417.518	30.209			2192.165	387.798	-3815.559	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		5.959	1.265	3471.132	26.579			1526.905	301.026	-3102.693	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		9.273	1.963	4611.568	6.635			-492.172	229.183	-4579.498	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		12.240	2.662	5349.614	5.991			-380.582	437.500	-5318.094	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		7.061	0.703	3785.736	22.487			1414.300	329.392	-3496.149	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		11.089	4.117	4820.691	20.404			1665.425	250.260	-4516.946	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		17.664	1.568	6136.165	21.876			2281.596	177.515	-5693.446	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		14.512	3.958	5523.492	26.210			2425.145	291.134	-4954.077	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		8.678	0.503	4324.332	13.104			948.337	271.652	-4210.309	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		5.640	5.672	3427.017	14.197			805.642	257.597	-3320.998	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		10.233	6.156	4652.702	17.356			1368.331	256.490	-4439.540	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		14.004	2.410	5636.715	9.731			909.081	315.526	-5553.969	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		8.498	0.933	4200.375	29.003			2013.346	326.590	-3671.910	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		12.893	0.432	5174.824	25.961			2234.516	397.636	-4650.551	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		15.655	4.131	5717.813	23.434			2241.155	413.321	-5244.023	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		9.988	0.887	4555.292	23.992			1842.202	215.407	-4160.598	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		8.254	1.527	4115.730	23.778			1640.355	271.427	-3764.943	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		12.555	4.467	5124.072	19.487			1664.128	416.810	-4828.361	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		10.502	5.375	4709.760	19.150			1539.828	150.756	-4448.375	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		8.781	1.188	4344.383	13.998			1034.092	210.129	-4214.281	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		9.739	1.313	4577.937	15.317			1206.310	109.610	-4414.783	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		9.381	17.226	4451.639	18.688			1425.873	61.811	-4216.652	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		11.481	2.688	4981.872	16.057			1377.594	59.039	-4787.254	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		9.940	2.915	4586.109	18.594			1460.035	105.647	-4346.209	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		17.853	0.789	6194.211	18.953			2002.249	227.670	-5857.253	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		5.844	0.420	3535.863	11.258			671.237	179.966	-3466.898	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		12.434	9.110	5320.127	8.786			756.892	324.346	-5256.013	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51100	  14.2086	1	   0.1766		8.031	3.934	4189.275	11.932			865.498	56.050	-4098.511	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
