3D Point and Length Measurements

Generated: Tuesday, February 12, 2019 13:05:27

Filename	Frame	Time (mins)	Period	Period time (mins)	Length (mm)	Precision (mm)	RMS (mm)	Range (mm)	Direction (deg)	Horz. Dir. (deg)	Vert. Dir. (deg)	Mid X (mm)	Mid Y (mm)	Mid Z (mm)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment	MAD	Incoming
MaOL1N_L461.avi	  26298	   7.3050	1	   0.0050		9.920	2.158	4750.545	8.329			-614.016	-285.022	-4702.066	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  26333	   7.3147	1	   0.0147	136.217	8.989	1.516	2979.506	11.484	41.547	5.060	-586.003	-92.100	-2919.859	MaOL1N	Ellen											Labridae	Thalassoma	hardwicke	37384165	1	AD	Passing			
MaOL1N_L461.avi	  26362	   7.3227	1	   0.0228	138.361	17.887	2.756	4419.324	10.156	40.988	22.179	645.006	-437.325	-4350.073	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	binotatus	37437021	1	AD	Passing			
MaOL1N_L461.avi	  26382	   7.3283	1	   0.0283	124.748	7.675	3.338	2694.500	19.417	45.653	1.324	830.423	-335.812	-2541.251	MaOL1N	Ellen											Acanthuridae	Acanthurus	nigroris	37437015	1	AD	Passing		0.56	
MaOL1N_L461.avi	  26551	   7.3752	1	   0.0753	199.918	15.635	5.798	5612.006	7.377	17.707	3.386	-710.334	120.722	-5565.560	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	multispecies school A		
MaOL1N_L461.avi	  26558	   7.3772	1	   0.0772	183.755	20.484	2.170	6038.147	6.379	21.136	0.911	-599.007	302.126	-6000.760	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	multispecies school A		
MaOL1N_L461.avi	  26568	   7.3800	1	   0.0800		17.288	5.051	6451.731	5.189			-537.029	263.174	-6423.953	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	multispecies school A		
MaOL1N_L461.avi	  26598	   7.3883	1	   0.0883		15.385	10.932	6100.960	4.202			-375.907	275.085	-6083.152	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	multispecies school A		
MaOL1N_L461.avi	  26606	   7.3905	1	   0.0906	156.473	19.178	9.605	6067.399	20.086	7.636	0.400	2044.416	402.608	-5698.386	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	same species school (3) B		
MaOL1N_L461.avi	  26625	   7.3958	1	   0.0958		16.750	9.243	6414.548	3.207			156.614	357.811	-6402.646	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	multispecies school A		
MaOL1N_L461.avi	  26632	   7.3977	1	   0.0978	288.564	25.478	1.637	6020.511	21.327	21.907	3.155	2180.415	200.062	-5608.237	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	same species school (3) B		
MaOL1N_L461.avi	  26643	   7.4008	1	   0.1008		22.191	1.871	7454.053	2.697			106.570	374.784	-7443.863	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	multispecies school A		
MaOL1N_L461.avi	  26658	   7.4050	1	   0.1050		18.434	1.774	6785.324	1.998			-121.091	240.165	-6779.991	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	multispecies school A		
MaOL1N_L461.avi	  26658	   7.4050	1	   0.1050		24.074	5.582	7774.028	2.744			-171.090	372.779	-7763.200	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	multispecies school A		
MaOL1N_L461.avi	  26658	   7.4050	1	   0.1050		15.347	6.701	6109.416	3.787			-353.578	227.593	-6094.928	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	multispecies school A		
MaOL1N_L461.avi	  26671	   7.4086	1	   0.1086	192.586	22.863	0.457	4116.864	3.558	63.470	2.281	249.992	52.765	-4108.928	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	multispecies school A		
MaOL1N_L461.avi	  26690	   7.4139	1	   0.1139	243.150	28.905	5.458	5053.073	27.866	67.508	15.515	2361.703	-25.251	-4467.132	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	same species school (3) B		
MaOL1N_L461.avi	  26691	   7.4141	1	   0.1142	292.426	38.350	13.969	5421.231	1.693	60.405	4.575	34.744	156.310	-5418.866	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	multispecies school A	1.03	
MaOL1N_L461.avi	  26693	   7.4147	1	   0.1147	195.861	12.040	10.289	3618.579	23.143	37.347	8.898	1414.527	-147.276	-3327.392	MaOL1N	Ellen											Scaridae	Scarus	psittacus	37386024	1	AD	Passing			
MaOL1N_L461.avi	  26697	   7.4158	1	   0.1158	212.180	13.392	10.261	6551.421	2.665	11.517	6.563	-82.294	293.302	-6544.335	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	multispecies school A	2.35	
MaOL1N_L461.avi	  26739	   7.4275	1	   0.1275	166.895	12.501	3.842	4691.319	7.946	22.154	19.350	613.482	210.179	-4646.282	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	multispecies school A		
MaOL1N_L461.avi	  26760	   7.4333	1	   0.1333	177.633	19.328	4.614	4139.988	7.956	48.504	2.464	572.320	-28.767	-4100.137	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	multispecies school A		
MaOL1N_L461.avi	  26760	   7.4333	1	   0.1333	190.592	26.573	3.598	4460.645	9.614	63.926	0.061	744.818	15.007	-4397.997	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	multispecies school A		
