Periods

Generated: Wednesday, May 03, 2017 08:12:50

Period	Start filename	Start frame	Start time (mins)	End filename	End frame	End time (mins)	Period length (mins)	OpCode	Tape Reader	Depth	Comment								
1	NOR3S_L461.avi	  18072	   5.0200	NOR3S_L461.avi	  25451	   7.0697	   2.0497	NOR3S	Ellen										
2	NOR3S_L461.avi	  31574	   8.7705	NOR3S_L461.avi	  37754	  10.4872	   1.7167	NOR3S	Ellen										
3	NOR3S_L461.avi	  40259	  11.1830	NOR3S_L461.avi	  48059	  13.3497	   2.1667	NOR3S	Ellen										
4	NOR3S_L461.avi	  50879	  14.1330	NOR3S_L461.avi	  58231	  16.1752	   2.0422	NOR3S	Ellen										
5	NOR3S_L461.avi	  61515	  17.0874	NOR3S_L461.avi	  68471	  19.0196	   1.9322	NOR3S	Ellen										
6	NOR3S_L461.avi	  71102	  19.7505	NOR3S_L461.avi	  78939	  21.9274	   2.1769	NOR3S	Ellen										
1	TeOR2N_L461.avi	  36469	  10.1302	TeOR2N_L461.avi	  50664	  14.0733	   3.9430	TeOR2N	Ellen										
2	TeOR2N_L461.avi	  55032	  15.2866	TeOR2N_L461.avi	  69613	  19.3369	   4.0503	TeOR2N	Ellen										
3	TeOR2N_L461.avi	  74557	  20.7102	TeOR2N_L461.avi	  89635	  24.8985	   4.1883	TeOR2N	Ellen										
4	TeOR2N_L461.avi	  93071	  25.8530	TeOR2N_L461.avi	 108539	  30.1496	   4.2966	TeOR2N	Ellen										
5	TeOR2N_L461.avi	 117784	  32.7176	TeOR2N_L461.avi	 130389	  36.2190	   3.5014	TeOR2N	Ellen										
6	TeOR2N_L461.avi	 134231	  37.2862	TeOR2N_L461.avi	 146974	  40.8259	   3.5397	TeOR2N	Ellen										
1	MaIR2_L461.avi	  43039	  11.9672	MaIR2_L461.avi	  49909	  13.8775	   1.9102	MaIR2	Brooke										
2	MaIR2_L461.avi	  56683	  15.7610	MaIR2_L461.avi	  63618	  17.6894	   1.9283	MaIR2	Brooke										
3	MaIR2_L461.avi	  66533	  18.4999	MaIR2_L461.avi	  73101	  20.3262	   1.8263	MaIR2	Brooke										
4	MaIR2_L461.avi	  76017	  21.1370	MaIR2_L461.avi	  81154	  22.5653	   1.4284	MaIR2	Brooke										
5	MaIR2_L461.avi	  83645	  23.2580	MaIR2_L461.avi	  88943	  24.7311	   1.4731	MaIR2	Brooke										
6	MaIR2_L461.avi	  92096	  25.6078	MaIR2_L461.avi	  98992	  27.5253	   1.9175	MaIR2	Brooke										
1	MaIL3_L461.avi	  22013	   6.1208	MaIL3_L461.avi	  32087	   8.9220	   2.8011	MaIL3	Brooke										
2	MaIL3_L461.avi	  37393	  10.3973	MaIL3_L461.avi	  47637	  13.2457	   2.8484	MaIL3	Brooke										
3	MaIL3_L461.avi	  53744	  14.9438	MaIL3_L461.avi	  64018	  17.8006	   2.8567	MaIL3	Brooke										
4	MaIL3_L461.avi	  70875	  19.7072	MaIL3_L461.avi	  79533	  22.1146	   2.4074	MaIL3	Brooke										
5	MaIL3_L461.avi	  85674	  23.8222	MaIL3_L461.avi	  95391	  26.5240	   2.7019	MaIL3	Brooke										
6	MaIL3_L461.avi	  99261	  27.6001	MaIL3_L461.avi	 107221	  29.8134	   2.2133	MaIL3	Brooke										
1	TiOR3E_L461.avi	  40740	  11.3280	TiOR3E_L461.avi	  47263	  13.1418	   1.8138	TiOR3E	Ellen										
2	TiOR3E_L461.avi	  50100	  13.9306	TiOR3E_L461.avi	  57894	  16.0978	   2.1672	TiOR3E	Ellen										
3	TiOR3E_L461.avi	  62730	  17.4424	TiOR3E_L461.avi	  69889	  19.4330	   1.9906	TiOR3E	Ellen										
4	TiOR3E_L461.avi	  78780	  21.9052	TiOR3E_L461.avi	  85582	  23.7966	   1.8913	TiOR3E	Ellen										
5	TiOR3E_L461.avi	  89498	  24.8854	TiOR3E_L461.avi	  95875	  26.6586	   1.7732	TiOR3E	Ellen										
6	TiOR3E_L461.avi	  99496	  27.6654	TiOR3E_L461.avi	 105831	  29.4269	   1.7615	TiOR3E	Ellen										
1	MoOR3N_L461.avi	  46087	  12.8148	MoOR3N_L461.avi	  53939	  14.9981	   2.1833	MoOR3N	Ellen										
2	MoOR3N_L461.avi	  56887	  15.8178	MoOR3N_L461.avi	  64663	  17.9799	   2.1622	MoOR3N	Ellen										
3	MoOR3N_L461.avi	  67804	  18.8533	MoOR3N_L461.avi	  76420	  21.2490	   2.3957	MoOR3N	Ellen										
4	MoOR3N_L461.avi	  79415	  22.0818	MoOR3N_L461.avi	  87465	  24.3202	   2.2383	MoOR3N	Ellen										
5	MoOR3N_L461.avi	  89789	  24.9664	MoOR3N_L461.avi	  97870	  27.2133	   2.2470	MoOR3N	Ellen										
6	MoOR3N_L461.avi	 101668	  28.2694	MoOR3N_L461.avi	 109906	  30.5600	   2.2906	MoOR3N	Ellen										
1	TiIR1_L461.avi	  25815	   7.1780	TiIR1_L461.avi	  33952	   9.4406	   2.2625	TiIR1	Brooke										
2	TiIR1_L461.avi	  37274	  10.3643	TiIR1_L461.avi	  44995	  12.5111	   2.1469	TiIR1	Brooke										
3	TiIR1_L461.avi	  48447	  13.4710	TiIR1_L461.avi	  55857	  15.5314	   2.0604	TiIR1	Brooke										
4	TiIR1_L461.avi	  58542	  16.2779	TiIR1_L461.avi	  66492	  18.4885	   2.2105	TiIR1	Brooke										
5	TiIR1_L461.avi	  69649	  19.3663	TiIR1_L461.avi	  77345	  21.5062	   2.1399	TiIR1	Brooke										
6	TiIR1_L461.avi	  81282	  22.6009	TiIR1_L461.avi	  89260	  24.8193	   2.2183	TiIR1	Brooke										
1	NOR2S_L461.avi	  37518	  10.4216	NOR2S_L461.avi	  44272	  12.2977	   1.8761	NOR2S	Ellen										
2	NOR2S_L461.avi	  51311	  14.2530	NOR2S_L461.avi	  56963	  15.8230	   1.5700	NOR2S	Ellen										
3	NOR2S_L461.avi	  60510	  16.8083	NOR2S_L461.avi	  66723	  18.5341	   1.7258	NOR2S	Ellen										
4	NOR2S_L461.avi	  68999	  19.1663	NOR2S_L461.avi	  74772	  20.7699	   1.6036	NOR2S	Ellen										
5	NOR2S_L461.avi	  77885	  21.6346	NOR2S_L461.avi	  83309	  23.1413	   1.5067	NOR2S	Ellen										
6	NOR2S_L461.avi	  85761	  23.8224	NOR2S_L461.avi	  91910	  25.5305	   1.7080	NOR2S	Ellen										
