"Genus_species","OpCode"
" sp9","MaOL1N"
" sp9","MaOR1N"
"Scarus sp9","MaOR2W"
" sp9","MaOR2W"
"Halichoeres sp1","MaOR3W"
" sp9","MoOR1S"
" sp9","MoOR2S"
"Paracirrhites sp9","MoOR2S"
" sp9","MoOR3N"
"Thalassoma sp9","MoOR3N"
" sp9","MoOR4N"
" sp9","NOL1S"
" sp9","NOL2S"
"Scarus sp9","NOR2S"
"Scarus sp9","NOR3S"
"Myripristis sp9","NOR3S"
" sp9","POL3W"
"Scarus sp9","POL4W"
" sp9","POL4W"
" sp9","TaOL1N"
" sp9","TeOL4N"
"Epinephelides sp9","TeOR1N"
" sp9","TiOL2E"
" sp9","TiOL4W"
" sp9","TiOL5"
" sp9","TiOR1W"
"Pseudanthias sp9","TiOR1W"
"Paracirrhites sp9","TiOR2E"
" sp9","TiOR2E"
"Thalassoma sp9","TiOR2E"
"Cheilinus sp9","TiOR2E"
"Cheilinus sp9","TiOR3E"
" sp9","TiOR3E"
"Pseudanthias sp9","TiOR3E"
" sp9","TiOR4E"
"Scarus sp9","NOL3S"
" sp9","NOL3S"
" sp9","TeOL2S"
" sp9","TeOL3N"
"Coris sp1","MaIL2"
"Neoniphon sp1","MaIL2"
"Neoniphon sp2","MaIL2"
"Halichoeres sp2","NIR1"
"Synodus sp9","TeIL1"
"Unknown sp1","TeIL1"
"Unknown sp9","TeIL1"
"Synodus sp9","TeIL4"
"Canthigaster sp9","TeIL4"
"Unknown sp9","TeIR1"
" sp9","TiIL2"
"Synodus sp9","TiIL3"
" sp9","TiIR1"
"Pseudocheilinus sp9","TiIR1"
"Unknown sp9","TiIR1"
"Unknown ","TiIR3"
"Unknown sp9","TiIR3"
"Canthigaster sp9","TiIR4"
" sp9","TiIR4"
"Scarus sp9","MaOL1N"
"Halichoeres sp9","MaOL1N"
"Halichoeres sp7","MaOL1N"
"Chaetodon sp9","MaOL1N"
"Bodianus sp9","MaOL1N"
"Epinephelus sp9","MaOL1N"
"Scarus sp9","MaOL2N"
"Chaetodon sp9","MaOL2N"
" sp9","MaOL2N"
"Lutjanus sp9","MaOL2N"
" sp9","MaOL3W"
"Chaetodon sp9","MaOL3W"
"Epinephelus sp9","MaOL3W"
"Gymnothorax sp9","MaOR1N"
"Thalassoma sp9","MaOR2W"
"Paracirrhites sp9","MaOR2W"
"Acanthurus sp9","MaOR2W"
" sp1","MaOR3W"
" sp9","MaOR3W"
"Chaetodon sp9","MoOR3N"
"Scarus sp9","NOL2S"
" sp3","NOL4S"
" sp9","NOR2S"
" sp9","NOR3S"
" ","POL4W"
"Scarus sp9","TaOL1N"
" sp9","TaOR1S"
"Scarus sp9","TeOR1N"
" sp9","TeOR1N"
"Chaetodon sp9","TeOR1N"
"Halichoeres sp1","TeOR3S"
"Paracirrhites sp1","TeOR3S"
"Oneirodes sp1","TeOR3S"
"Chaetodon sp9","TiOL3W"
" sp9","TiOL3W"
"Neoniphon sp9","TiOL5"
"Paracirrhites sp3","TiOR1W"
"Chaetodon sp9","TiOR2E"
"Acanthurus sp9","TiOR3E"
"Chaetodon sp9","TiOR4E"
"Chaetodon sp","TeOL2S"
" sp9","MaIL2"
"Unknown sp9","MaIR1"
"Paracirrhites sp1","MaIR1"
"Stethojulis sp1","MaIR1"
"Unknown sp9","MaIR2"
" sp9","NIL2"
"Canthigaster sp1","NIL3"
"Unknown sp9","NIL3"
" sp9","NIR1"
"Scarus sp9","NIR1"
"Acanthurus sp9","NIR1"
"Unknown sp9","NIR1"
" sp9","NIR2"
"Unknown sp3","PIL1"
" sp9","PIL1"
"Unknown sp9","PIL1"
"Unknown sp2","PIL1"
"Synodus sp9","PIL2"
" sp9","PIL2"
"Sargocentron sp1","PIL2"
"Sargocentron sp2","PIL2"
" sp9","TeIL1"
"Cymolutes sp1","TeIL4"
" sp9","TeIL4"
"Unknown sp9","TeIL4"
" sp9","TeIR1"
"Halichoeres sp1","TeIR1"
" sp1","TeIR2"
"Unknown sp9","TeIR2"
" sp9","TeIR2"
"Canthigaster sp9","TiIL3"
" sp9","TiIL3"
"Synodus sp9","TiIL4"
" sp9","TiIR3"
"Unknown sp9","TiIR4"
"Chaetodon sp9","TiIR4"
