Genus_species	Family	Genus	GASPAR code	Max	DepthMIN	DepthMAX	HomeRange	Activity	Schooling	Level	Diet 7cl2	HerbivoreType	Diet Spe Coral	Habitat Spe Coral	Size	SizeClass	Coeffa	Coeffb	Level coeff	CommLoc	CommReg	TargetLoc	Commercial	Ciguatera	Resilience
Abudefduf septemfasciatus	Pomacentridae	Abudefduf	5687	23	0	3	1	D	4	2	OM	Grazer	0	0	23	3	0.022562179	3.132017677	genus	0	0	0	0	0	medium 
Abudefduf sexfasciatus	Pomacentridae	Abudefduf	5688	16	1	20	1	D	4	2	PK	0	0	0	16	3	0.021276044	3.151969035	sp	0	0	0	0	0	medium
Abudefduf sordidus	Pomacentridae	Abudefduf	5689	17	0	3	1	D	4	2	OM	Grazer	0	0	23	3	0.022562179	3.132017677	genus	0	0	0	0	0	medium
Acanthurus achilles	Acanthuridae	Acanthurus	4306	24	0	10	2	D	4	1	HD	Grazer	0	0	24	4	0.028032882	2.98288421	genus	0	1	1	1	0	high
Acanthurus blochii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Acanthurus guttatus	Acanthuridae	Acanthurus	4736	26	1	6	2	D	5	1	HD	Grazer	0	0	26	4	0.028032882	2.98288421	genus	0	0	1	1	0	high
Acanthurus leucopareius	Acanthuridae	Acanthurus	4737	25	1	85	2	D	4	1	HD	Grazer	0	0	24	4	0.028032882	2.98288421	genus	0	0	1	1	0	high
Acanthurus lineatus	Acanthuridae	Acanthurus	1258	38	0	15	1	D	1	1	HD	Grazer	0	1	38	4	0.028032882	2.98288421	genus	0	1	1	1	0	medium 
Acanthurus nigricans	Acanthuridae	Acanthurus	6011	22	1	67	1	D	3	1	HD	Grazer	0	0	21.3	3	0.028032882	2.98288421	genus	0	1	1	1	0	very low
Acanthurus nigricauda	Acanthuridae	Acanthurus	4747	40	1	30	2	D	3	1	HD	Grazer	0	1	40	4	0.016784756	3.167724687	sp	1	1	2	2	0	high
Acanthurus nigrofuscus	Acanthuridae	Acanthurus	4739	21	0	25	1	D	3	1	HD	Grazer	0	0	21	3	0.026370479	3.028366711	sp	0	0	1	1	0	medium
Acanthurus nigroris	Acanthuridae	Acanthurus	4738	25	1	90	1	D	3	1	HD	Grazer	0	0	25	4	0.028032882	2.98288421	genus	0	0	1	1	0	high
Acanthurus nubilus	Acanthuridae	Acanthurus	4733	26	5	90	3	D	3	3	PK	0	0	0	26	4	0.028032882	2.98288421	genus	0	0	0	1	0	high
Acanthurus olivaceus	Acanthuridae	Acanthurus	4744	35	3	46	2	D	4	1	HD	Grazer	0	1	35	4	0.028032882	2.98288421	genus	1	1	1	1	0	high
Acanthurus pyroferus	Acanthuridae	Acanthurus	4742	25	4	60	1	D	1	1	HD	Grazer	0	1	25	4	0.028032882	2.98288421	genus	0	0	1	1	0	medium
Acanthurus thompsoni	Acanthuridae	Acanthurus	4734	27	4	119	3	D	4	2	PK	0	0	0	27	4	0.028032882	2.98288421	genus	0	0	1	0	0	high
Acanthurus triostegus	Acanthuridae	Acanthurus	1260	27	0	90	3	D	5	1	HD	Grazer	0	0	27	3	0.083063451	2.569683389	sp	0	1	1	0	0	medium
