"","modname","formula","AICc","BIC","delta.AICc","delta.BIC","wi.AICc","wi.BIC","r2.vals","edf","edf.less.1","mean.relief","sd.relief","hard.corals","rock","Status","cumsum.wi"
"Total.Abundance.5","rock","s(rock, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",842.916342594218,874.016575148381,0,0,0.412,0.457,0.263,14.03,0,0,0,0,1,0,0.412
"Total.Abundance.8","rock+Status","s(rock, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",842.963227382807,874.131550399822,0.047,0.115,0.402,0.431,0.257,14.08,0,0,0,0,1,1,0.814
"Total.Abundance.9","Status+rock.by.Status","s(rock, by = Status, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",844.501579267833,876.827630015478,1.585,2.811,0.186,0.112,0.256,14.99,0,0,0,0,1,1,1
"Species.Richness.8","rock+Status","s(rock, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",533.707773781196,564.523054299801,0,0,0.408,0.436,0.182,13.72,0,0,0,0,1,1,0.408
"Species.Richness.5","rock","s(rock, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",533.801384201086,564.643582872875,0.094,0.121,0.389,0.41,0.191,13.76,0,0,0,0,1,0,0.797
"Species.Richness.9","Status+rock.by.Status","s(rock, by = Status, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",535.506890767827,567.428350374653,1.799,2.905,0.166,0.102,0.179,14.58,0,0,0,0,1,1,0.963
"Abundance.Chlorurus sordidus.large.5","rock","s(rock, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",480.987725876866,511.938134002235,0,0,0.472,0.516,0.542,13.73,0,0,0,0,1,0,0.472
"Abundance.Chlorurus sordidus.large.8","rock+Status","s(rock, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",481.372296934573,512.537549304531,0.385,0.599,0.39,0.382,0.539,13.88,0,0,0,0,1,1,0.862
"Abundance.Chlorurus sordidus.small.1","null","intercept + s(Site, Location, bs = ""re"") - 1",517.985459787425,546.392484693742,0,0,0.244,0.351,0.368,11.92,0,0,0,0,0,0,0.244
"Abundance.Chlorurus sordidus.small.5","rock","s(rock, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",518.514912978583,548.024331216456,0.529,1.632,0.187,0.155,0.358,12.66,0,0,0,0,1,0,0.431
"Abundance.Chlorurus sordidus.small.6","Status","Status + s(Site, Location, bs = ""re"")",518.555061082419,547.161893387076,0.57,0.769,0.183,0.239,0.357,11.99,0,0,0,0,0,1,0.614
"Abundance.Chlorurus sordidus.small.8","rock+Status","s(rock, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",519.050610138132,548.802468739975,1.065,2.41,0.143,0.105,0.351,12.8,0,0,0,0,1,1,0.757
"Abundance.Ctenochaetus striatus.large.2","mean.relief","s(mean.relief, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",516.225532724032,548.691577992043,0,0.272,0.385,0.291,0.762,15,0,1,0,0,0,0,0.385
"Abundance.Ctenochaetus striatus.large.5","rock","s(rock, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",517.005679576433,548.419918195397,0.78,0,0.261,0.333,0.777,14.27,0,0,0,0,1,0,0.646
