"CampaignID","OpCode","Depth","Location","Status","Site","Observer","Region","Reef.Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TeOR1N",8,"Tetaiuo","Fished","TeOR1N","Ellen D'Cruz","Northwest","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TeOR2N",6.5,"Tetaiuo","Fished","TeOR2N","Ellen D'Cruz","Northwest","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TeOR3S",6.1,"Tetaiuo","Fished","TeOR3S","Ellen D'Cruz","Northwest","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TaOR1S",6.4,"Taotaha","Fished","TaOR1S","Ellen D'Cruz","Northwest","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TiIR2",6.7,"Tiahura","No-take","TiIR2","Brooke Gibbons","Northwest","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MaOR1N",7,"Maatea","Fished","MaOR1N","Ellen D'Cruz","South","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MaIR1",6.4,"Maatea","No-take","MaIR1","Brooke Gibbons","South","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MaIR2",6.4,"Maatea","No-take","MaIR2","Brooke Gibbons","South","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MaOR2W",7.3,"Maatea","Fished","MaOR2W","Ellen D'Cruz","South","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MaOR3W",7.3,"Maatea","Fished","MaOR3W","Ellen D'Cruz","South","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MoOR1S",6.7,"Motu Ahi","Fished","MoOR1S","Ellen D'Cruz","East","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MoOR2S",6.7,"Motu Ahi","Fished","MoOR2S","Ellen D'Cruz","East","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MoOR3N",6.7,"Motu Ahi","Fished","MoOR3N","Ellen D'Cruz","East","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MoOR4N",5.5,"Motu Ahi","Fished","MoOR4N","Ellen D'Cruz","East","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","POL3W",2.2,"Pihaena","Fished","POL3W","Jack Barron","North","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","POL4W",1.5,"Pihaena","Fished","POL4W","Ellen D'Cruz","North","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","PIL1",1.5,"Pihaena","No-take","PIL1","Brooke Gibbons","North","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","PIL2",1,"Pihaena","No-take","PIL2","Brooke Gibbons","North","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TiOL2E",1.2,"Tiahura","Fished","TiOL2E","Ellen D'Cruz","Northwest","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TaOL1N",1.5,"Taotaha","Fished","TaOL1N","Ellen D'Cruz","Northwest","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TeOL2S",1.4,"Tetaiuo","Fished","TeOL2S","Brooke Gibbons","Northwest","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TeIL1",1.5,"Tetaiuo","No-take","TeIL1","Brooke Gibbons","Northwest","Lagoon"
