OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
MaIL2	1	MaIL2_L461.avi	30584	MaIL2_R462.avi	32923	8.50406	1	0.18519	527.14045	-383.23134	-1624.43111	1.13674	0.98032	2.97648	0.03641	1750.29133	22.04578	Labridae	Thalassoma	amblycephalum	37384164	1	AD	Passing			
MaIL2	2	MaIL2_L461.avi	30584	MaIL2_R462.avi	32923	8.50406	1	0.18519	617.32298	-291.29945	-2095.71122	1.62645	1.11472	4.89414	0.19146	2204.07544	18.17654	Labridae	Thalassoma	amblycephalum	37384164	1	AD	Passing			
MaIL2	3	MaIL2_L461.avi	30733	MaIL2_R462.avi	33072	8.54549	1	0.22662	-1855.49021	-583.11208	-3739.02780	7.75985	2.87179	15.75624	0.18150	4214.64026	27.57759	Chaetodontidae	Chaetodon	citrinellus	37365036	1	AD	Passing			
MaIL2	4	MaIL2_L461.avi	30845	MaIL2_R462.avi	33184	8.57663	1	0.25776	-1552.57951	-363.68046	-2857.03640	4.99362	1.68327	9.24673	0.08608	3271.91436	29.24001	Chaetodontidae	Chaetodon	citrinellus	37365036	1	AD	Passing			
MaIL2	6	MaIL2_L461.avi	31373	MaIL2_R462.avi	33712	8.72345	1	0.40457	-2400.11008	-257.86885	-4890.68549	13.05210	2.48148	26.85014	1.25935	5453.97372	26.30490	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaIL2	7	MaIL2_L461.avi	31446	MaIL2_R462.avi	33785	8.74374	1	0.42487	-2392.95362	-123.17580	-4317.71134	11.48274	1.94899	20.99345	4.55777	4938.01888	29.04575	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaIL2	9	MaIL2_L461.avi	32148	MaIL2_R462.avi	34487	8.93894	1	0.62006	-1219.51636	-216.55852	-2479.21553	3.45226	1.22611	6.97202	1.27588	2771.39449	26.60259	Pomacanthidae	Centropyge	heraldi	37365027	1	AD	Passing			
MaIL2	16	MaIL2_L461.avi	32650	MaIL2_R462.avi	34989	9.07852	1	0.75965	-1626.73542	-584.05510	-6648.44134	11.90244	4.86958	47.91568	3.28670	6869.43671	14.68114	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing	School A		
MaIL2	17	MaIL2_L461.avi	32650	MaIL2_R462.avi	34989	9.07852	1	0.75965	-1558.04767	-643.19414	-7586.29743	12.99126	5.89322	61.98760	2.46375	7771.30104	12.64943	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing	School A		
MaIL2	19	MaIL2_L461.avi	32673	MaIL2_R462.avi	35012	9.08492	1	0.76604	-2470.41404	-687.05779	-5179.19048	14.20914	4.42956	30.05998	1.42393	5779.18748	26.42493	Scaridae	Scarus	globiceps	37386018	1	AD	Passing			
MaIL2	20	MaIL2_L461.avi	32675	MaIL2_R462.avi	35014	9.08547	1	0.76660	378.27032	-472.80065	-6926.52633	4.03762	4.35434	50.98757	5.89394	6952.94152	5.24351	Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	School A		
MaIL2	21	MaIL2_L461.avi	32675	MaIL2_R462.avi	35014	9.08547	1	0.76660	245.14274	-549.64744	-7196.48189	3.59375	4.95949	55.00312	3.87925	7221.60362	5.06738	Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	School A		
MaIL2	22	MaIL2_L461.avi	32681	MaIL2_R462.avi	35020	9.08714	1	0.76827	-1640.33078	-719.24867	-6266.88454	11.33420	5.38457	42.72793	1.09864	6517.80987	16.07799	Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	School A		
MaIL2	26	MaIL2_L461.avi	32699	MaIL2_R462.avi	35038	9.09215	1	0.77327	-2429.35785	-539.56686	-6451.21182	17.27313	4.55142	46.00579	2.78420	6914.55320	21.16396	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing	School A		
MaIL2	28	MaIL2_L461.avi	32730	MaIL2_R462.avi	35069	9.10077	1	0.78189	-1027.02353	-387.89404	-5858.35307	6.84368	3.36405	36.89518	1.92224	5960.33051	10.72823	Scaridae	Scarus	globiceps	37386018	1	AD	Passing	School A		
MaIL2	33	MaIL2_L461.avi	32911	MaIL2_R462.avi	35250	9.15110	1	0.83222	-621.68495	-427.41575	-8023.52549	6.27943	4.74036	68.41892	2.56793	8058.91666	5.55456	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing	School A		
MaIL2	38	MaIL2_L461.avi	33135	MaIL2_R462.avi	35474	9.21338	1	0.89451	-1366.83023	-200.29031	-6450.53942	9.76756	2.99910	44.86423	3.01484	6596.80225	12.13687	Scaridae	Scarus	globiceps	37386018	1	AD	Passing	School A		
MaIL2	41	MaIL2_L461.avi	33245	MaIL2_R462.avi	35584	9.24397	1	0.92509	-321.00996	-280.06042	-6823.62313	3.72868	3.40550	49.45996	1.45687	6836.90821	3.78509	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing	School A		
MaIL2	44	MaIL2_L461.avi	33332	MaIL2_R462.avi	35671	9.26816	1	0.94928	207.90878	-279.70625	-1236.34406	0.61416	0.65803	1.73342	0.19751	1284.52648	15.99441	Labridae	Halichoeres	hortulanus	37384112	1	AD	Passing			
MaIL2	45	MaIL2_L461.avi	33336	MaIL2_R462.avi	35675	9.26927	1	0.95039	2183.20517	-359.65638	-6083.61417	14.58636	3.40985	40.75305	2.28052	6473.49202	20.03955	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing	School A		
MaIL2	46	MaIL2_L461.avi	33344	MaIL2_R462.avi	35683	9.27149	1	0.95262	2331.83124	-362.27734	-7958.27373	20.19327	4.39477	68.87938	1.61305	8300.77120	16.56702	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing	School A		
MaIL2	48	MaIL2_L461.avi	33454	MaIL2_R462.avi	35793	9.30208	1	0.98321	2084.47305	-332.02197	-4885.09947	11.27124	2.68325	26.58486	0.96121	5321.60345	23.41923	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing	School A		
