OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
MaIL2	0	0	1682.76569	829.35154	1417.25992	880.95563
MaIL2	0	1	1727.01665	855.15358	1459.05250	910.44369
MaIL2	1	0	1687.68246	899.38567	1191.08835	952.21843
MaIL2	2	0	1564.76312	750.71672	1239.02689	792.49147
MaIL2	3	0	152.41997	781.43345	126.60691	778.97611
MaIL2	4	0	129.06530	733.51536	11.06274	729.82935
MaIL2	5	0	243.38028	737.20137	299.92318	740.88737
MaIL2	5	1	304.83995	759.31741	350.32010	764.23208
MaIL2	6	0	118.00256	608.19113	174.54545	619.24915
MaIL2	7	0	29.50064	568.87372	67.60563	576.24573
MaIL2	8	0	682.20230	579.93174	669.91037	598.36177
MaIL2	8	1	712.93214	566.41638	696.95262	587.30375
MaIL2	9	0	250.75544	668.39590	55.31370	668.39590
MaIL2	10	0	999.76056	723.37884	976.88476	749.97952
MaIL2	10	1	1070.43918	695.73379	1053.70935	724.79181
MaIL2	11	0	1116.53393	738.12287	1092.42894	770.25256
MaIL2	11	1	1187.82714	718.46416	1169.25352	751.82253
MaIL2	12	0	1183.52497	745.49488	1176.01408	780.69625
MaIL2	12	1	1240.68246	738.12287	1236.85915	774.55290
MaIL2	13	0	978.86428	683.44710	1027.28169	713.73379
MaIL2	13	1	1034.17798	677.91809	1087.51216	707.59044
MaIL2	14	0	928.04097	663.48123	984.58387	691.74061
MaIL2	14	1	972.29193	663.48123	1033.75160	690.51195
MaIL2	15	0	855.51857	692.96928	940.33291	716.31399
MaIL2	15	1	900.99872	692.96928	984.58387	721.22867
MaIL2	16	0	491.67734	670.85324	577.72087	686.82594
MaIL2	17	0	544.53265	664.70990	651.47247	685.59727
MaIL2	18	0	1047.27273	706.48464	968.60435	728.60068
MaIL2	18	1	1117.33675	683.13993	1042.35595	713.85666
MaIL2	19	0	133.98207	742.11604	199.12932	745.80205
MaIL2	20	0	982.44814	640.86348	1066.68758	668.39249
MaIL2	21	0	945.24968	653.65188	1035.93726	681.62116
