OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
MaIL2	0	1	MaIL2_L461.avi	29918	8.31887	MaIL2_L461.avi	36725	10.21160	1
MaIL2	1	2	MaIL2_L461.avi	43226	12.01924	MaIL2_L461.avi	52444	14.58236	1
MaIL2	2	3	MaIL2_L461.avi	57110	15.87977	MaIL2_L461.avi	66463	18.48042	1
MaIL2	3	4	MaIL2_L461.avi	71513	19.88461	MaIL2_L461.avi	79598	22.13269	1
MaIL2	4	5	MaIL2_L461.avi	85761	23.84635	MaIL2_L461.avi	93689	26.05077	1
MaIL2	5	6	MaIL2_L461.avi	98474	27.38127	MaIL2_L461.avi	105117	29.22840	1
MaIL3	0	1	MaIL3_L461.avi	22013	6.12084	MaIL3_L461.avi	32087	8.92198	1
MaIL3	1	2	MaIL3_L461.avi	37393	10.39734	MaIL3_L461.avi	47637	13.24575	1
MaIL3	2	3	MaIL3_L461.avi	53744	14.94383	MaIL3_L461.avi	64018	17.80058	1
MaIL3	3	4	MaIL3_L461.avi	70875	19.70721	MaIL3_L461.avi	79533	22.11461	1
MaIL3	4	5	MaIL3_L461.avi	85674	23.82216	MaIL3_L461.avi	95391	26.52402	1
MaIL3	5	6	MaIL3_L461.avi	99261	27.60010	MaIL3_L461.avi	107221	29.81342	1
MaIR1	0	1	MaIR1_L461.avi	59274	16.48148	MaIR1_L461.avi	67059	18.64615	1
MaIR1	1	2	MaIR1_L461.avi	68621	19.08047	MaIR1_L461.avi	74311	20.66261	1
MaIR1	2	3	MaIR1_L461.avi	77480	21.54377	MaIR1_L461.avi	85092	23.66033	1
MaIR1	3	4	MaIR1_L461.avi	89054	24.76198	MaIR1_L461.avi	94154	26.18007	1
MaIR1	4	5	MaIR1_L461.avi	100056	27.82115	MaIR1_L461.avi	107411	29.86626	1
MaIR1	5	6	MaIR1_L461.avi	110750	30.79468	MaIR1_L461.avi	117148	32.57368	1
MaIR2	0	1	MaIR2_L461.avi	43039	11.96725	MaIR2_L461.avi	49909	13.87749	1
MaIR2	1	2	MaIR2_L461.avi	56683	15.76104	MaIR2_L461.avi	63618	17.68936	1
MaIR2	2	3	MaIR2_L461.avi	66533	18.49989	MaIR2_L461.avi	73101	20.32616	1
MaIR2	3	4	MaIR2_L461.avi	76017	21.13697	MaIR2_L461.avi	81154	22.56534	1
MaIR2	4	5	MaIR2_L461.avi	83645	23.25798	MaIR2_L461.avi	88943	24.73112	1
MaIR2	5	6	MaIR2_L461.avi	92096	25.60783	MaIR2_L461.avi	98992	27.52530	1
NIL2	0	1	NIL2_L461.avi	40767	11.33550	NIL2_L461.avi	46683	12.98048	1
NIL2	1	2	NIL2_L461.avi	49002	13.62529	NIL2_L461.avi	54848	15.25081	1
NIL2	2	3	NIL2_L461.avi	57276	15.92593	NIL2_L461.avi	62854	17.47692	1
NIL2	3	4	NIL2_L461.avi	66773	18.56662	NIL2_L461.avi	72326	20.11067	1
NIL2	4	5	NIL2_L461.avi	75119	20.88728	NIL2_L461.avi	82623	22.97381	1
NIL2	5	6	NIL2_L461.avi	86378	24.01791	NIL2_L461.avi	95019	26.42059	1
NIL3	0	1	NIL3_L461.avi	59595	16.57074	NIL3_L461.avi	65024	18.08030	1
NIL3	1	2	NIL3_L461.avi	67208	18.68758	NIL3_L461.avi	72908	20.27249	1
NIL3	2	3	NIL3_L461.avi	75696	21.04771	NIL3_L461.avi	80598	22.41074	1
NIL3	3	4	NIL3_L461.avi	82901	23.05111	NIL3_L461.avi	90350	25.12234	1
NIL3	4	5	NIL3_L461.avi	94791	26.35719	NIL3_L461.avi	100673	27.99271	1
NIL3	5	6	NIL3_L461.avi	104430	29.03737	NIL3_L461.avi	110787	30.80497	1
NIR1	0	1	NIR1_L461.avi	21399	5.95012	NIR1_L461.avi	28834	8.01746	1
NIR1	1	2	NIR1_L461.avi	31552	8.77322	NIR1_L461.avi	39277	10.92120	1
NIR1	2	3	NIR1_L461.avi	43207	12.01396	NIR1_L461.avi	51022	14.18696	1
NIR1	3	4	NIR1_L461.avi	54137	15.05311	NIR1_L461.avi	61633	17.13742	1
NIR1	4	5	NIR1_L461.avi	64739	18.00106	NIR1_L461.avi	72880	20.26471	1
NIR1	5	6	NIR1_L461.avi	75884	21.09999	NIR1_L461.avi	83562	23.23490	1
NIR2	0	1	NIR2_L461.avi	40764	11.33467	NIR2_L461.avi	47972	13.33889	1
NIR2	1	2	NIR2_L461.avi	50787	14.12162	NIR2_L461.avi	58235	16.19258	1
NIR2	2	3	NIR2_L461.avi	62162	17.28451	NIR2_L461.avi	68814	19.13413	1
NIR2	3	4	NIR2_L461.avi	71664	19.92659	NIR2_L461.avi	79323	22.05622	1
NIR2	4	5	NIR2_L461.avi	81843	22.75692	NIR2_L461.avi	89056	24.76254	1
NIR2	5	6	NIR2_L461.avi	92386	25.68847	NIR2_L461.avi	99375	27.63180	1
PIL1	0	1	PIL1_L461.avi	13765	3.82744	PIL1_L461.avi	26750	7.43799	1
PIL1	1	2	PIL1_L461.avi	32809	9.12273	PIL1_L461.avi	44849	12.47053	1
PIL1	2	3	PIL1_L461.avi	57312	15.93594	PIL1_L461.avi	69405	19.29847	1
PIL1	3	4	PIL1_L461.avi	76727	21.33439	PIL1_L461.avi	89611	24.91686	1
PIL1	4	5	PIL1_L461.avi	97193	27.02508	PIL1_L461.avi	113420	31.53709	1
PIL1	5	6	PIL1_L461.avi	169932	47.25058	PIL1_L461.avi	182634	50.78245	1
PIL2	0	1	PIL2_L461.avi	26959	7.49611	PIL2_L461.avi	38475	10.69820	1
PIL2	1	2	PIL2_L461.avi	48884	13.59248	PIL2_L461.avi	58504	16.26738	1
PIL2	2	3	PIL2_L461.avi	65509	18.21516	PIL2_L461.avi	80036	22.25448	1
PIL2	3	4	PIL2_L461.avi	88799	24.69108	PIL2_L461.avi	98820	27.47748	1
PIL2	4	5	PIL2_L461.avi	109478	30.44100	PIL2_L461.avi	120739	33.57218	1
PIL2	5	6	PIL2_L461.avi	129210	35.92759	PIL2_L461.avi	144191	40.09315	1
TeIL1	0	1	TeIL1_L461.avi	29231	8.12785	TeIL1_L461.avi	37995	10.56473	1
TeIL1	1	2	TeIL1_L461.avi	41623	11.57352	TeIL1_L461.avi	49794	13.84551	1
TeIL1	2	3	TeIL1_L461.avi	54454	15.14125	TeIL1_L461.avi	62971	17.50945	1
TeIL1	3	4	TeIL1_L461.avi	67348	18.72650	TeIL1_L461.avi	77942	21.67223	1
TeIL1	4	5	TeIL1_L461.avi	82619	22.97269	TeIL1_L461.avi	92070	25.60060	1
TeIL1	5	6	TeIL1_L461.avi	110762	30.79802	TeIL1_L461.avi	122002	33.92337	1
TeIL4	0	1	TeIL4_L461.avi	29286	8.14314	TeIL4_L461.avi	37857	10.52636	1
TeIL4	1	2	TeIL4_L461.avi	42029	11.68641	TeIL4_L461.avi	50043	13.91475	1
TeIL4	2	3	TeIL4_L461.avi	53324	14.82705	TeIL4_L461.avi	62378	17.34457	1
TeIL4	3	4	TeIL4_L461.avi	66322	18.44122	TeIL4_L461.avi	76132	21.16895	1
TeIL4	4	5	TeIL4_L461.avi	80005	22.24586	TeIL4_L461.avi	88773	24.68385	1
TeIL4	5	6	TeIL4_L461.avi	93296	25.94150	TeIL4_L461.avi	100596	27.97130	1
TeIR1	0	1	TeIR1_L461.avi	28465	7.91486	TeIR1_L461.avi	35850	9.96830	1
TeIR1	1	2	TeIR1_L461.avi	39334	10.93705	TeIR1_L461.avi	47594	13.23379	1
TeIR1	2	3	TeIR1_L461.avi	50383	14.00929	TeIR1_L461.avi	57942	16.11111	1
TeIR1	3	4	TeIR1_L461.avi	60947	16.94667	TeIR1_L461.avi	69456	19.31265	1
TeIR1	4	5	TeIR1_L461.avi	72519	20.16433	TeIR1_L461.avi	81398	22.63319	1
TeIR1	5	6	TeIR1_L461.avi	84176	23.40563	TeIR1_L461.avi	94291	26.21816	1
TeIR2	0	1	TeIR2_L461.avi	43976	12.22778	TeIR2_L461.avi	51532	14.32877	1
TeIR2	1	2	TeIR2_L461.avi	54822	15.24358	TeIR2_L461.avi	62501	17.37877	1
TeIR2	2	3	TeIR2_L461.avi	66274	18.42787	TeIR2_L461.avi	73864	20.53832	1
TeIR2	3	4	TeIR2_L461.avi	77691	21.60244	TeIR2_L461.avi	84796	23.57802	1
TeIR2	4	5	TeIR2_L461.avi	88304	24.55344	TeIR2_L461.avi	95615	26.58631	1
TeIR2	5	6	TeIR2_L461.avi	100071	27.82533	TeIR2_L461.avi	108250	30.09954	1
TiIL2	0	1	TiIL2_L461.avi	22334	6.21010	TiIL2_L461.avi	31509	8.76126	1
TiIL2	1	2	TiIL2_L461.avi	34825	9.68329	TiIL2_L461.avi	45951	12.77694	1
TiIL2	2	3	TiIL2_L461.avi	49965	13.89306	TiIL2_L461.avi	59849	16.64136	1
TiIL2	3	4	TiIL2_L461.avi	68352	19.00567	TiIL2_L461.avi	76758	21.34301	1
TiIL2	4	5	TiIL2_L461.avi	79312	22.05316	TiIL2_L461.avi	86038	23.92337	1
TiIL2	5	6	TiIL2_L461.avi	88673	24.65604	TiIL2_L461.avi	95004	26.41642	1
TiIL3	0	1	TiIL3_L461.avi	42131	11.71477	TiIL3_L461.avi	50650	14.08353	1
TiIL3	1	2	TiIL3_L461.avi	53114	14.76866	TiIL3_L461.avi	62130	17.27561	1
TiIL3	2	3	TiIL3_L461.avi	69256	19.25703	TiIL3_L461.avi	77800	21.63274	1
TiIL3	3	4	TiIL3_L461.avi	80228	22.30786	TiIL3_L461.avi	86395	24.02263	1
TiIL3	4	5	TiIL3_L461.avi	89336	24.84040	TiIL3_L461.avi	95547	26.56740	1
TiIL3	5	6	TiIL3_L461.avi	99288	27.60761	TiIL3_L461.avi	107613	29.92242	1
TiIL4	0	1	TiIL4_L461.avi	38131	10.60255	TiIL4_L461.avi	46930	13.04916	1
TiIL4	1	2	TiIL4_L461.avi	51915	14.43527	TiIL4_L461.avi	61930	17.22000	1
TiIL4	2	3	TiIL4_L461.avi	69849	19.42192	TiIL4_L461.avi	79329	22.05789	1
TiIL4	3	4	TiIL4_L461.avi	86740	24.11856	TiIL4_L461.avi	96374	26.79735	1
TiIL4	4	5	TiIL4_L461.avi	104524	29.06351	TiIL4_L461.avi	111965	31.13252	1
TiIL4	5	6	TiIL4_L461.avi	116378	32.35958	TiIL4_L461.avi	124024	34.48560	1
TiIR1	0	1	TiIR1_L461.avi	25815	7.17801	TiIR1_L461.avi	33952	9.44055	1
TiIR1	1	2	TiIR1_L461.avi	37274	10.36425	TiIR1_L461.avi	44995	12.51112	1
TiIR1	2	3	TiIR1_L461.avi	48447	13.47097	TiIR1_L461.avi	55857	15.53136	1
TiIR1	3	4	TiIR1_L461.avi	58542	16.27794	TiIR1_L461.avi	66492	18.48849	1
TiIR1	4	5	TiIR1_L461.avi	69649	19.36631	TiIR1_L461.avi	77345	21.50623	1
TiIR1	5	6	TiIR1_L461.avi	81282	22.60093	TiIR1_L461.avi	89260	24.81926	1
TiIR3	0	1	TiIR3_L461.avi	36751	10.21883	TiIR3_L461.avi	42208	11.73618	1
TiIR3	1	2	TiIR3_L461.avi	45684	12.70270	TiIR3_L461.avi	51902	14.43165	1
TiIR3	2	3	TiIR3_L461.avi	55191	15.34618	TiIR3_L461.avi	60984	16.95696	1
TiIR3	3	4	TiIR3_L461.avi	63903	17.76860	TiIR3_L461.avi	70520	19.60850	1
TiIR3	4	5	TiIR3_L461.avi	75224	20.91647	TiIR3_L461.avi	82194	22.85452	1
TiIR3	5	6	TiIR3_L461.avi	86093	23.93866	TiIR3_L461.avi	93170	25.90646	1
TiIR4	0	1	TiIR4_L461.avi	37790	10.50773	TiIR4_L461.avi	45165	12.55839	1
TiIR4	1	2	TiIR4_L461.avi	48536	13.49572	TiIR4_L461.avi	55228	15.35647	1
TiIR4	2	3	TiIR4_L461.avi	57527	15.99572	TiIR4_L461.avi	64221	17.85702	1
TiIR4	3	4	TiIR4_L461.avi	66570	18.51018	TiIR4_L461.avi	73792	20.51830	1
TiIR4	4	5	TiIR4_L461.avi	76291	21.21316	TiIR4_L461.avi	83320	23.16761	1
TiIR4	5	6	TiIR4_L461.avi	86167	23.95924	TiIR4_L461.avi	93551	26.01240	1
