OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
MaIL2	0	MaIL2_L461.avi	33753	9.38522	1	1.06634	360.15365	636.45051	Labridae	Stethojulis	bandanensis	37384154	1	AD	Passing			
MaIL2	1	MaIL2_L461.avi	35278	9.80925	1	1.49038	62.68886	434.94881	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaIL2	2	MaIL2_L461.avi	35687	9.92298	1	1.60410	340.48656	638.90785	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaIL2	3	MaIL2_L461.avi	35760	9.94328	1	1.62440	288.86044	716.31399	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaIL2	4	MaIL2_L461.avi	44551	12.38767	2	0.36842	517.49040	633.99317	Serranidae	Cephalopholis	argus	37311082	1	AD	Passing			
MaIL2	5	MaIL2_L461.avi	45457	12.63958	2	0.62034	269.19334	200.27304	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaIL2	6	MaIL2_L461.avi	45526	12.65877	2	0.63953	133.98207	223.61775	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaIL2	7	MaIL2_L461.avi	46949	13.05444	2	1.03520	1806.91421	516.04096	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaIL2	8	MaIL2_L461.avi	47294	13.15037	2	1.13113	36.87580	396.86007	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaIL2	9	MaIL2_L461.avi	48515	13.48988	2	1.47064	67.60563	498.83959	Labridae	Thalassoma	lutescens	37384168	1	AD	Passing			
MaIL2	10	MaIL2_L461.avi	49785	13.84301	2	1.82377	1682.76569	543.07167	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaIL2	11	MaIL2_L461.avi	49785	13.84301	2	1.82377	1777.41357	523.41297	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaIL2	12	MaIL2_L461.avi	49785	13.84301	2	1.82377	1750.37132	535.69966	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaIL2	13	MaIL2_L461.avi	50657	14.08547	2	2.06623	72.52241	94.60751	Labridae	Thalassoma	hardwicke	37384165	1	AD	Passing			
MaIL2	14	MaIL2_L461.avi	50897	14.15221	2	2.13297	1766.35083	780.20478	Mullidae	Parupeneus	multifasciatus	37355026	1	AD	Passing			
MaIL2	15	MaIL2_L461.avi	51308	14.26649	2	2.24725	472.01024	742.11604	Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaIL2	16	MaIL2_L461.avi	51308	14.26649	2	2.24725	528.55314	760.54608	Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
