OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
NOL3S	9	NOL3S_L461.avi	50903	NOL3S_R462.avi	47870	14.15383	1	0.12179	1024.89444	200.56271	-2782.95467	3.26724	1.37874	8.62347	14.10721	2972.45197	20.51135	Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S	10	NOL3S_L461.avi	50959	NOL3S_R462.avi	47926	14.16940	1	0.13736	1556.45351	28.71832	-3047.70411	5.31731	1.33915	10.47021	8.50781	3422.26133	27.05312	Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S	11	NOL3S_L461.avi	50964	NOL3S_R462.avi	47931	14.17080	1	0.13875	2140.67563	128.25725	-4754.88910	11.27728	2.22230	25.23002	0.56497	5216.12044	24.25917	Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S	12	NOL3S_L461.avi	50964	NOL3S_R462.avi	47931	14.17080	1	0.13875	2233.76040	57.89006	-5119.28740	12.64656	2.27569	29.18269	5.22940	5585.70858	23.57458	Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S	13	NOL3S_L461.avi	50964	NOL3S_R462.avi	47931	14.17080	1	0.13875	1977.84153	54.80826	-4942.78622	10.80580	2.18793	27.09679	1.63572	5324.09586	21.80973	Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S	14	NOL3S_L461.avi	51029	NOL3S_R462.avi	47996	14.18887	1	0.15682	1645.18210	289.64964	-3543.01872	6.50805	1.96945	14.06620	5.54955	3917.07834	25.19083	Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S	15	NOL3S_L461.avi	51100	NOL3S_R462.avi	48067	14.20861	1	0.17656	2192.16491	387.79796	-3815.55887	9.25259	2.41433	16.30926	0.52120	4417.51782	30.20858	Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S	16	NOL3S_L461.avi	51100	NOL3S_R462.avi	48067	14.20861	1	0.17656	1526.90451	301.02574	-3102.69307	5.30865	1.74886	10.81972	1.26494	3471.13212	26.57932	Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S	17	NOL3S_L461.avi	51100	NOL3S_R462.avi	48067	14.20861	1	0.17656	-492.17232	229.18326	-4579.49753	3.07505	2.31684	22.42835	1.96254	4611.56765	6.63522	Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S	18	NOL3S_L461.avi	51100	NOL3S_R462.avi	48067	14.20861	1	0.17656	-380.58179	437.49977	-5318.09361	3.11924	3.47716	30.12345	2.66178	5349.61383	5.99058	Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
