OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
NOL3S	0	0	671.21958	633.67506	549.49195	646.70709
NOL3S	0	1	775.68835	660.24256	642.21571	675.12815
NOL3S	1	0	948.99936	683.00000	582.05280	693.88558
NOL3S	1	1	864.92981	691.64989	465.22086	700.06407
NOL3S	2	0	679.48229	692.88558	303.51578	698.82151
NOL3S	2	1	806.20476	712.03890	426.52930	722.91762
NOL3S	3	0	347.40502	568.88558	134.75853	577.14645
NOL3S	3	1	232.42756	580.62471	30.90792	585.17849
NOL3S	4	0	1035.60464	594.82380	928.90985	620.32494
NOL3S	4	1	995.63039	605.73913	872.65744	632.68192
NOL3S	5	0	1112.91758	587.41419	946.49839	603.16247
NOL3S	5	1	1079.84610	564.86270	899.20927	584.00915
NOL3S	6	0	1279.88152	583.61785	1243.31809	605.43021
NOL3S	6	1	1231.97424	583.61785	1182.42949	614.69794
NOL3S	7	0	1199.21185	540.05950	1088.16033	560.63616
NOL3S	7	1	1142.34127	530.48284	1029.74437	556.62014
NOL3S	8	0	1346.64070	567.67963	1256.00515	592.28833
NOL3S	8	1	1291.41854	560.05950	1190.06825	587.96339
NOL3S	9	0	1608.44816	409.01602	1450.19961	451.02975
NOL3S	10	0	1796.36832	522.70023	1708.58983	549.88558
NOL3S	11	0	1639.35608	489.33638	1687.57244	523.93593
NOL3S	12	0	1609.68448	515.28604	1673.97296	548.64989
NOL3S	13	0	1560.23181	514.05034	1608.44816	548.64989
NOL3S	14	0	1703.64456	406.54462	1664.08242	428.78719
NOL3S	15	0	1852.00258	375.65217	1864.36574	401.60183
NOL3S	16	0	1767.93303	381.83066	1683.86349	405.30892
NOL3S	17	0	766.51642	442.37986	756.62589	465.85812
NOL3S	18	0	806.07856	389.24485	835.75016	413.95881
NOL3S	19	0	1618.33870	383.06636	1561.46813	407.78032
NOL3S	20	0	1525.61494	441.14416	1544.15969	474.50801
NOL3S	21	0	1545.39601	481.92220	1628.22923	515.28604
NOL3S	22	0	1692.51771	441.14416	1760.51513	470.80092
NOL3S	23	0	1316.67740	425.08009	1293.18738	452.26545
NOL3S	24	0	1383.43851	407.78032	1279.58789	427.55149
NOL3S	25	0	1436.60013	439.90847	1440.30908	464.62243
NOL3S	26	0	1183.15518	436.20137	1228.89891	463.38673
NOL3S	27	0	1819.85834	394.18764	1812.44044	422.60870
NOL3S	28	0	1687.57244	397.89474	1737.02511	426.31579
NOL3S	29	0	1594.84868	405.30892	1664.08242	437.43707
NOL3S	30	0	1646.77399	449.79405	1655.42820	481.92220
NOL3S	31	0	1651.71925	418.90160	1626.99292	446.08696
NOL3S	32	0	1481.10753	394.18764	1514.48809	418.90160
NOL3S	33	0	1493.47070	474.50801	1503.36124	510.34325
NOL3S	34	0	1347.58532	448.55835	1326.56793	478.21510
NOL3S	35	0	1383.43851	489.33638	1379.72956	521.46453
NOL3S	36	0	1488.52543	514.05034	1481.10753	533.82151
NOL3S	37	0	1394.56536	509.10755	1415.58274	543.70709
NOL3S	38	0	1481.10753	490.57208	1482.34385	525.17162
NOL3S	39	0	1453.90856	468.32952	1533.03284	500.45767
NOL3S	40	0	1299.36896	444.85126	1205.40889	472.03661
NOL3S	41	0	1158.42885	430.02288	1189.33677	452.26545
NOL3S	42	0	1298.13265	505.40046	1263.51578	538.76430
NOL3S	43	0	1289.47843	480.68650	1293.18738	509.10755
NOL3S	44	0	1215.29942	469.56522	1186.86413	495.51487
NOL3S	45	0	1230.13522	493.04348	1196.75467	520.22883
NOL3S	46	0	290.88538	274.08696	158.27431	303.35011
NOL3S	46	1	360.73728	286.03204	234.10174	313.44165
NOL3S	47	0	535.76561	531.14645	8.03606	533.02517
NOL3S	47	1	626.01674	552.77117	48.21636	570.71396
NOL3S	48	0	529.36510	365.71396	261.26014	385.29062
NOL3S	48	1	602.92595	347.17849	349.24469	370.87414
NOL3S	49	0	366.64327	414.62014	66.55505	431.09153
NOL3S	49	1	423.30779	396.70252	139.49775	417.29291
NOL3S	50	0	1734.85254	366.03204	1393.22279	388.21281
NOL3S	50	1	1636.77141	348.93822	1275.36059	360.82151
NOL3S	51	0	1830.36703	363.58581	1583.35673	377.00229
NOL3S	51	1	1747.94591	351.02288	1487.33612	365.05721
NOL3S	52	0	1905.98841	414.86728	1553.27302	438.99314
NOL3S	52	1	1822.12492	405.18764	1441.59240	422.31121
NOL3S	53	0	1897.33419	339.69565	1672.98970	353.52403
NOL3S	53	1	1822.74308	329.81007	1594.68963	344.25629
NOL3S	54	0	1713.29620	287.23570	1503.18674	295.26773
NOL3S	54	1	1640.76561	285.58810	1440.13458	299.38673
NOL3S	55	0	1402.29620	373.97025	1183.59884	396.67735
NOL3S	55	1	1338.21378	369.02746	1129.81906	386.58581
NOL3S	56	0	1253.53252	375.73684	1100.14746	395.85355
NOL3S	56	1	1202.84353	374.50114	1031.73793	397.08924
NOL3S	57	0	974.78042	356.41419	672.72698	378.44394
NOL3S	57	1	905.13458	349.00000	624.09852	372.05950
NOL3S	58	0	534.87379	389.08924	186.68384	404.07323
NOL3S	58	1	650.05731	383.73455	299.18867	401.60183
NOL3S	59	0	1380.41404	286.95652	1353.25628	306.75057
NOL3S	59	1	1329.51900	279.23341	1292.36768	298.40961
NOL3S	60	0	1718.86220	375.75057	1543.58983	397.20824
NOL3S	60	1	1626.55055	367.10069	1469.30779	381.55606
NOL3S	61	0	1507.90019	465.59954	1510.77914	491.80778
NOL3S	62	0	1423.00064	436.20137	1434.12750	459.67963
NOL3S	63	0	953.20026	265.67506	782.58854	289.15332
NOL3S	64	0	1179.44623	271.85355	1252.38892	294.09611
NOL3S	65	0	1622.04765	407.78032	1703.64456	432.49428
NOL3S	66	0	1743.20670	434.96568	1774.11462	460.91533
NOL3S	67	0	1660.37347	422.60870	1740.73406	454.73684
NOL3S	68	0	668.84739	155.69794	619.39472	187.82609
NOL3S	69	0	584.77785	180.41190	582.30522	210.06865
NOL3S	70	0	278.17128	103.79863	253.44495	144.57666
NOL3S	71	0	933.41919	287.91762	788.77012	312.63158
NOL3S	72	0	814.73278	261.96796	916.11075	291.62471
NOL3S	73	0	1325.33162	303.98169	1284.53316	327.45995
NOL3S	74	0	1441.54540	339.81693	1358.71217	360.82380
NOL3S	75	0	1542.92337	378.12357	1589.90341	406.54462
NOL3S	76	0	1534.26916	359.58810	1597.32131	381.83066
NOL3S	77	0	1575.06761	328.69565	1566.41339	349.70252
NOL3S	78	0	411.92402	239.20137	217.25241	273.35011
NOL3S	78	1	367.62717	213.00229	144.79588	246.88330
NOL3S	79	0	1247.07469	364.82380	1245.71281	384.73913
NOL3S	79	1	1197.93110	364.20595	1194.71475	388.75515
NOL3S	80	0	1477.09659	860.90389	1279.64971	899.68650
NOL3S	80	1	1557.45718	901.05034	1337.91114	957.26087
NOL3S	81	0	1446.32389	743.79405	1373.59562	787.13272
NOL3S	81	1	1515.86671	766.04577	1426.75724	811.09611
NOL3S	82	0	1397.09659	655.44851	1421.13329	692.13730
NOL3S	82	1	1462.31230	630.86270	1493.14874	665.21739
NOL3S	83	0	1262.16033	685.31350	1182.53252	716.17620
NOL3S	83	1	1331.70316	693.56064	1256.24791	731.58124
NOL3S	84	0	313.41468	683.44622	237.59627	681.01602
NOL3S	84	1	390.99356	689.20366	297.71217	696.57666
NOL3S	85	0	953.52350	602.73227	900.43207	627.11213
NOL3S	85	1	1039.60206	622.49428	985.11977	646.09611
NOL3S	86	0	222.93239	655.88787	223.61558	664.11670
NOL3S	86	1	270.53059	643.59497	260.70509	648.08924
NOL3S	87	0	1222.51513	887.39817	951.85963	920.57666
NOL3S	87	1	1266.55892	898.29062	1006.87572	926.33410
NOL3S	88	0	510.72312	855.89245	295.91500	852.12128
NOL3S	88	1	557.54862	820.56979	350.62202	824.57895
NOL3S	89	0	284.40245	752.47597	186.04894	751.64760
NOL3S	89	1	202.49646	753.72082	87.76175	749.78032
NOL3S	90	0	351.17708	695.30664	303.53123	690.97483
NOL3S	90	1	322.74179	711.17849	275.09594	710.58124
NOL3S	91	0	1383.34900	828.07323	1161.77721	866.71396
NOL3S	91	1	1302.83387	796.95195	1107.68835	824.70023
NOL3S	92	0	1458.79395	926.27231	1247.09466	975.60412
NOL3S	92	1	1399.91436	873.05492	1201.04185	914.60641
NOL3S	93	0	1279.59369	879.45309	1121.83129	901.15789
NOL3S	93	1	1220.09594	837.12815	1074.69672	859.29977
NOL3S	94	0	1306.45010	535.91076	1139.66903	560.80320
NOL3S	94	1	1348.17579	534.51030	1175.05860	559.40275
NOL3S	95	0	836.98648	628.97025	714.59111	643.79863
NOL3S	96	0	629.28525	278.03204	724.48165	307.68879
NOL3S	97	0	831.88538	417.62243	846.06697	436.89016
NOL3S	97	1	785.21442	409.21968	795.37798	430.97712
NOL3S	98	0	1356.74308	482.91762	1333.57824	509.46453
NOL3S	98	1	1429.68577	487.27460	1416.25692	513.82151
NOL3S	99	0	543.68706	483.35469	538.77849	508.00229
