OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
NOL3S	0	1	NOL3S_L461.avi	50465	14.03205	NOL3S_L461.avi	57418	15.96536	1
NOL3S	1	2	NOL3S_L461.avi	59256	16.47643	NOL3S_L461.avi	65047	18.08664	1
NOL3S	2	3	NOL3S_L461.avi	66926	18.60911	NOL3S_L461.avi	73538	20.44761	1
NOL3S	3	4	NOL3S_L461.avi	76948	21.39578	NOL3S_L461.avi	84892	23.60465	1
NOL3S	4	5	NOL3S_L461.avi	87840	24.42435	NOL3S_L461.avi	95511	26.55731	1
NOL3S	5	6	NOL3S_L461.avi	103394	28.74922	NOL3S_L461.avi	110770	30.80015	1
TeOL2S	0	1	TeOL2S_L461.avi	50196	13.94333	TeOL2S_L461.avi	58501	16.25028	1
TeOL2S	1	2	TeOL2S_L461.avi	61762	17.15611	TeOL2S_L461.avi	69714	19.36500	1
TeOL2S	2	3	TeOL2S_L461.avi	72266	20.07389	TeOL2S_L461.avi	79469	22.07472	1
TeOL2S	3	4	TeOL2S_L461.avi	84968	23.60222	TeOL2S_L461.avi	92791	25.77528	1
TeOL2S	4	5	TeOL2S_L461.avi	95559	26.54417	TeOL2S_L461.avi	102259	28.40528	1
TeOL2S	5	6	TeOL2S_L461.avi	104993	29.16472	TeOL2S_L461.avi	112227	31.17417	1
TeOL3N	0	1	TiOL3W_L461.avi	44437	12.34361	TiOL3W_L461.avi	53478	14.85500	1
TeOL3N	1	2	TiOL3W_L461.avi	57378	15.93833	TiOL3W_L461.avi	64049	17.79139	1
TeOL3N	2	3	TiOL3W_L461.avi	66770	18.54722	TiOL3W_L461.avi	74836	20.78778	1
TeOL3N	3	4	TiOL3W_L461.avi	78196	21.72111	TiOL3W_L461.avi	86096	23.91556	1
TeOL3N	4	5	TiOL3W_L461.avi	88712	24.64222	TiOL3W_L461.avi	96838	26.89944	1
TeOL3N	5	6	TiOL3W_L461.avi	100158	27.82167	TiOL3W_L461.avi	108213	30.05917	1
