OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
MaOL1N	Ellen																		
MaOL2N	Ellen																		
MaOL3W	Ellen																		
MaOR1N	Ellen																		
MaOR2W	Ellen																		
MaOR3W	Ellen																		
MoOR1S	Ellen																		
MoOR2S	Ellen																		
MoOR3N	Ellen																		
MoOR4N	Ellen																		
NOL1S	Ellen																		
NOL2S	Ellen																		
NOL4S	Ellen																		
NOR2S	Ellen																		
NOR3S	Ellen																		
POL3W	Jack																		
POL4W	Ellen																		
TaOL1N	Ellen																		
TaOR1S	Ellen																		
TeOL4N	Ellen																		
TeOR1N	Ellen																		
TeOR2N	Ellen																		
TeOR3S	Ellen																		
TiOL2E	Ellen																		
TiOL3W	Ellen																		
TiOL4W	Ellen																		
TiOL5	Ellen																		
TiOR1W	Ellen																		
TiOR2E	Ellen																		
TiOR3E	Ellen																		
TiOR4E	Ellen																		
