OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
MaOL1N	0	1	MaOL1N_L461.avi	26280	7.29997	MaOL1N_L461.avi	34311	9.53080	1
MaOL1N	1	2	MaOL1N_L461.avi	37355	10.37635	MaOL1N_L461.avi	43677	12.13245	1
MaOL1N	2	3	MaOL1N_L461.avi	50121	13.92244	MaOL1N_L461.avi	58219	16.17188	1
MaOL1N	3	4	MaOL1N_L461.avi	62471	17.35299	MaOL1N_L461.avi	70065	19.46242	1
MaOL1N	4	5	MaOL1N_L461.avi	74142	20.59492	MaOL1N_L461.avi	82379	22.88296	1
MaOL1N	5	6	MaOL1N_L461.avi	87978	24.43824	MaOL1N_L461.avi	95667	26.57406	1
MaOL2N	0	1	MaOL2N_L461.avi	49584	13.77328	MaOL2N_L461.avi	55841	15.51133	1
MaOL2N	1	2	MaOL2N_L461.avi	60678	16.85493	MaOL2N_L461.avi	67766	18.82381	1
MaOL2N	2	3	MaOL2N_L461.avi	76228	21.17436	MaOL2N_L461.avi	84223	23.39518	1
MaOL2N	3	4	MaOL2N_L461.avi	88624	24.61768	MaOL2N_L461.avi	95410	26.50267	1
MaOL2N	4	5	MaOL2N_L461.avi	99902	27.75044	MaOL2N_L461.avi	107914	29.97599	1
MaOL2N	5	6	MaOL2N_L461.avi	152592	42.38650	MaOL2N_L461.avi	160454	44.57038	1
MaOL3W	0	1	MaOL3W_L461.avi	33905	9.41802	MaOL3W_L461.avi	41206	11.44607	1
MaOL3W	1	2	MaOL3W_L461.avi	43728	12.14662	MaOL3W_L461.avi	51390	14.27494	1
MaOL3W	2	3	MaOL3W_L461.avi	53732	14.92550	MaOL3W_L461.avi	60975	16.93743	1
MaOL3W	3	4	MaOL3W_L461.avi	63630	17.67493	MaOL3W_L461.avi	70492	19.58103	1
MaOL3W	4	5	MaOL3W_L461.avi	73184	20.32881	MaOL3W_L461.avi	80468	22.35213	1
MaOL3W	5	6	MaOL3W_L461.avi	83809	23.28018	MaOL3W_L461.avi	91233	25.34240	1
MaOR1N	0	1	MaOR1N_L461.avi	40283	11.20092	MaOR1N_L461.avi	47342	13.16372	1
MaOR1N	1	2	MaOR1N_L461.avi	49519	13.76905	MaOR1N_L461.avi	55180	15.34312	1
MaOR1N	2	3	MaOR1N_L461.avi	58185	16.17868	MaOR1N_L461.avi	64622	17.96852	1
MaOR1N	3	4	MaOR1N_L461.avi	67784	18.84774	MaOR1N_L461.avi	75019	20.85947	1
MaOR1N	4	5	MaOR1N_L461.avi	80936	22.50473	MaOR1N_L461.avi	87838	24.42387	1
MaOR1N	5	6	MaOR1N_L461.avi	90902	25.27583	MaOR1N_L461.avi	96396	26.80347	1
MaOR2W	0	1	MaOR2W_L461.avi	62109	17.26977	MaOR2W_L461.avi	70074	19.48448	1
MaOR2W	1	2	MaOR2W_L461.avi	71993	20.01807	MaOR2W_L461.avi	79643	22.14520	1
MaOR2W	2	3	MaOR2W_L461.avi	81520	22.66711	MaOR2W_L461.avi	88620	24.64131	1
