OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
MaOL1N	0	MaOL1N_L461.avi	26466	7.35164	1	0.05167	249.82162	531.94030	Labridae	Thalassoma	hardwicke	37384165	1	AD	Passing			
MaOL1N	1	MaOL1N_L461.avi	28000	7.77775	1	0.47778	110.33104	284.08435	Chaetodontidae	Chaetodon	lunulatus	37365059	1	AD	Passing			
MaOL1N	2	MaOL1N_L461.avi	28175	7.82636	1	0.52639	739.93754	785.12764	Unknown			37000000	1	AD	Passing			
MaOL1N	3	MaOL1N_L461.avi	29328	8.14663	1	0.84666	927.02061	369.18979	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N	4	MaOL1N_L461.avi	30757	8.54358	1	1.24361	721.94878	559.77802	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N	5	MaOL1N_L461.avi	30760	8.54441	1	1.24444	681.17427	574.16204	Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	check - gaimard		
MaOL1N	6	MaOL1N_L461.avi	30800	8.55552	1	1.25555	1639.37539	643.68479	Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	or striatus		
MaOL1N	7	MaOL1N_L461.avi	42278	11.74384	2	1.36749	1726.92067	550.18868	Scaridae	Scarus	psittacus	37386024	1	AD	Passing			
MaOL1N	8	MaOL1N_L461.avi	50527	14.03522	3	0.11278	1249.61899	646.08213	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N	9	MaOL1N_L461.avi	50587	14.05189	3	0.12944	790.30606	680.84351	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N	10	MaOL1N_L461.avi	50918	14.14383	3	0.22139	387.35790	839.06770	Labridae	Halichoeres	hortulanus	37384112	1	AD	Passing			
