"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","reef","sd.relief","hard.corals","Status","cumsum.wi"
"Total.Abundance","hard.corals+reef",969.808864078205,1010.83862679659,0.30606,NA,17.76,0,0,0,0.785,0.414,1,0,1,0,0.785
"Species.Richness.reef","reef",614.234218979835,651.727786992566,0.21214,NA,15.72,0,0,1.223,0.176,0.145,1,0,0,0,0.176
"Species.Richness.reef+Status","reef+Status",614.271098868208,651.64958959145,0.20598,NA,15.59,0,0.037,1.145,0.173,0.15,1,0,0,1,0.349
"Species.Richness.null","null",614.335979935177,650.52020866811,0.17762,NA,14.89,0,0.102,0.015,0.167,0.264,0,0,0,0,0.516
"Species.Richness.Status","Status",614.337017764362,650.504965882225,0.16921,NA,14.86,0,0.103,0,0.167,0.266,0,0,0,1,0.683
"Species.Richness.hard.corals","hard.corals",615.060337479044,652.661655375924,0.16159,NA,15.8,0,0.826,2.157,0.117,0.091,0,0,1,0,0.8
"Species.Richness.hard.corals+reef","hard.corals+reef",616.017740418875,657.061636115159,0.20143,NA,17.01,0,1.784,6.557,0.072,0.01,1,0,1,0,0.872
"Abundance.TargetLoc.0.large.Status","Status",609.116956920144,645.398026511233,0.35946,NA,14.79,0,0,0,0.366,0.467,0,0,0,1,0.366
"Abundance.TargetLoc.0.large.null","null",609.153583883429,645.547943736737,0.36869,NA,14.9,0,0.037,0.15,0.359,0.433,0,0,0,0,0.725
"Abundance.TargetLoc.1.large","hard.corals+reef",574.650682965642,616.830534065261,0.10946,NA,17.52,0,0,1.228,0.763,0.17,1,0,1,0,0.763
"Abundance.TargetLoc.2.large","hard.corals+reef",806.396254254605,848.730462579109,0.61529,NA,18.12,0,0,2.798,0.459,0.083,1,0,1,0,0.459
"Abundance.TargetLoc.0.small","hard.corals+sd.relief",821.82349970376,861.195515640754,0.29558,NA,16.66,0,0,0,0.969,0.911,0,1,1,0,0.969
"Abundance.TargetLoc.1.small.null","null",131.6957770889,162.032868993803,0.20031,NA,10.99,0,0,0,0.509,0.647,0,0,0,0,0.509
"Abundance.TargetLoc.1.small.Status","Status",133.252195776142,164.257053264976,0.18434,NA,11.21,0,1.556,2.224,0.234,0.213,0,0,0,1,0.743
"Abundance.TargetLoc.2.small.null","null",724.407680031985,758.580219108572,0.32025,NA,13.45,0,0,0,0.239,0.4,0,0,0,0,0.239
"Abundance.TargetLoc.2.small.reef","reef",724.604450053655,760.480618845862,0.33593,NA,14.48,0,0.197,1.9,0.217,0.155,1,0,0,0,0.456
"Abundance.TargetLoc.2.small.Status","Status",724.952070257072,759.534840632084,0.31255,NA,13.69,0,0.544,0.955,0.182,0.248,0,0,0,1,0.638
"Abundance.TargetLoc.2.small.reef+Status","reef+Status",724.972943050155,761.200760259696,0.32799,NA,14.7,0,0.565,2.621,0.18,0.108,1,0,0,1,0.818
"School.Total.null","null",856.495501205918,889.02753429325,0.11671,NA,12.55,0,0,0,0.223,0.32,0,0,0,0,0.223
"School.Total.Status","Status",856.57523732491,889.297497429739,0.1053,NA,12.7,0,0.08,0.27,0.214,0.279,0,0,0,1,0.437
"School.Total.hard.corals","hard.corals",857.115607860936,891.016554875686,0.11671,NA,13.35,0,0.62,1.989,0.164,0.118,0,0,1,0,0.601
"School.Total.reef+Status","reef+Status",857.194886363975,890.969200386773,0.11109,NA,13.31,0,0.699,1.942,0.157,0.121,1,0,0,1,0.758
"School.Total.reef","reef",857.457367797137,891.304292352258,0.12499,NA,13.34,0,0.962,2.277,0.138,0.102,1,0,0,0,0.896
"Number.of.schools.reef","reef",518.860817966162,552.53903061917,0.14582,NA,13.26,0,0,0.621,0.25,0.224,1,0,0,0,0.25
"Number.of.schools.null","null",519.038339785846,551.918283632401,0.11032,NA,12.94,0,0.178,0,0.228,0.305,0,0,0,0,0.478
"Number.of.schools.reef+Status","reef+Status",519.079854190489,552.711593223019,0.12906,NA,13.17,0,0.219,0.793,0.224,0.205,1,0,0,1,0.702
"Number.of.schools.Status","Status",519.435653756958,552.662823204928,0.09937,NA,13.16,0,0.575,0.745,0.187,0.211,0,0,0,1,0.889
