"","reef","sd.relief","Status"
"Total.Abundance",0.389,0.015,0.347
"Species.Richness",0.225,0.057,0.221
"Abundance.TargetLoc.0.large",0.036,0.045,0.43
"Abundance.TargetLoc.1.large",0.129,0.091,0.271
"Abundance.TargetLoc.2.large",0.199,0.073,0.262
"Abundance.TargetLoc.0.small",1,0,1
"Abundance.TargetLoc.1.small",0.181,0,0.234
"Abundance.TargetLoc.2.small",0.246,0.008,0.207
"School.Total",0.191,0.096,0.26
"Number.of.schools",0.257,0.075,0.231
"NA",0.389,0.015,0.347
"NA",0.225,0.057,0.221
"NA",0.036,0.045,0.43
"NA",0.129,0.091,0.271
"NA",0.199,0.073,0.262
"NA",1,0,1
"NA",0.181,0,0.234
"NA",0.246,0.008,0.207
"NA",0.191,0.096,0.26
"NA",0.257,0.075,0.231
