"","modname","formula","AICc","BIC","delta.AICc","delta.BIC","wi.AICc","wi.BIC","r2.vals","edf","edf.less.1","mean.relief","sd.relief","hard.corals","rock","Status","cumsum.wi"
"Total.Abundance","Status+rock.by.Status","s(rock, by = Status, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",956.239914571237,995.283345648949,0,0,0.564,0.384,0.285,16.97,0,0,0,0,1,1,0.564
"Species.Richness.5","rock","s(rock, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",604.763346063432,641.757909216416,0,0,0.457,0.578,0.19,15.48,0,0,0,0,1,0,0.457
"Species.Richness.10","Status+rock.by.Status","s(rock, by = Status, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",605.178893573334,643.498918677773,0.416,1.741,0.371,0.242,0.177,16.36,0,0,0,0,1,1,0.828
"Abundance.Chlorurus sordidus.large","Status+rock.by.Status","s(rock, by = Status, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",555.265190480229,594.433482607914,0,0,0.817,0.631,0.494,16.86,0,0,0,0,1,1,0.817
"Abundance.Chlorurus sordidus.small.1","null","intercept + s(Site, Location, bs = ""re"") - 1",573.02102432543,606.768654328182,0,0,0.273,0.403,0.381,13.36,0,0,0,0,0,0,0.273
"Abundance.Chlorurus sordidus.small.6","Status","Status + s(Site, Location, bs = ""re"")",573.628395826338,607.726755419638,0.607,0.958,0.201,0.25,0.372,13.55,0,0,0,0,0,1,0.474
"Abundance.Chlorurus sordidus.small.5","rock","s(rock, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",574.39866196491,609.354735676774,1.378,2.586,0.137,0.111,0.371,14.08,0,0,0,0,1,0,0.611
"Abundance.Chlorurus sordidus.small.9","rock+Status","s(rock, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",575.007377644464,610.362898439769,1.986,3.594,0.101,0.067,0.364,14.32,0,0,0,0,1,1,0.712
"Abundance.Ctenochaetus striatus.large","mean.relief","s(mean.relief, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",573.395736934929,612.482267082341,0,0,0.449,0.365,0.738,16.88,0,1,0,0,0,0,0.449
"Abundance.Ctenochaetus striatus.small","sd.relief+hard.corals","s(sd.relief, k = 3, bs = ""cr"") + s(hard.corals, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",601.490262867568,640.639246952466,0,0,1,1,0.27,15.3,0,0,1,1,0,0,1
"Abundance.TargetLoc.0.large.10","Status+rock.by.Status","s(rock, by = Status, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",600.118357729471,640.58867942251,0,3.76,0.213,0.054,0.377,17.3,0,0,0,0,1,1,0.213
"Abundance.TargetLoc.0.large.9","rock+Status","s(rock, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",600.160543634144,639.293496813304,0.042,2.465,0.208,0.103,0.378,16.32,0,0,0,0,1,1,0.421
"Abundance.TargetLoc.0.large.6","Status","Status + s(Site, Location, bs = ""re"")",600.758910690451,636.828594898264,0.641,0,0.154,0.352,0.369,14.87,0,0,0,0,0,1,0.575
"Abundance.TargetLoc.0.large.1","null","intercept + s(Site, Location, bs = ""re"") - 1",600.822479359011,636.999440661476,0.704,0.171,0.15,0.324,0.378,14.98,0,0,0,0,0,0,0.725
"Abundance.TargetLoc.0.large.5","rock","s(rock, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",601.008648041495,640.445956810002,0.89,3.617,0.136,0.058,0.386,16.44,0,0,0,0,1,0,0.861
"Abundance.TargetLoc.1.large.5","rock","s(rock, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",569.382751981077,607.214647183734,0,0,0.302,0.244,0.086,15.11,0,0,0,0,1,0,0.302
"Abundance.TargetLoc.1.large.9","rock+Status","s(rock, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",569.818247246743,608.092736313384,0.435,0.878,0.243,0.157,0.085,15.45,0,0,0,0,1,1,0.545
"Abundance.TargetLoc.2.large.10","Status+rock.by.Status","s(rock, by = Status, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",785.687046875585,825.38415798928,0,0,0.449,0.306,0.608,17.19,0,0,0,0,1,1,0.449
"Abundance.TargetLoc.2.large.8","sd.relief+rock","s(sd.relief, k = 3, bs = ""cr"") + s(rock, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",787.301277171739,826.716180933156,1.614,1.332,0.2,0.157,0.606,16.98,0,0,1,0,1,0,0.649
"Abundance.TargetLoc.2.large.5","rock","s(rock, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",787.564023561267,825.579536402283,1.877,0.195,0.176,0.278,0.61,16.03,0,0,0,0,1,0,0.825
"Abundance.TargetLoc.0.small","sd.relief+hard.corals","s(sd.relief, k = 3, bs = ""cr"") + s(hard.corals, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",814.497031949871,853.480105477955,0,0,0.996,0.992,0.293,16.64,0,0,1,1,0,0,0.996
"Abundance.TargetLoc.1.small.6","Status","Status + s(Site, Location, bs = ""re"")",139.107819237333,170.025179986471,0,0,0.622,0.561,0.198,11.34,0,0,0,0,0,1,0.622
"Abundance.TargetLoc.1.small.1","null","intercept + s(Site, Location, bs = ""re"") - 1",140.106699242457,170.517433606237,0.999,0.492,0.378,0.439,0.215,11.2,0,0,0,0,0,0,1
"Abundance.TargetLoc.2.small.1","null","intercept + s(Site, Location, bs = ""re"") - 1",706.955860602958,741.533746579934,0,0,0.226,0.351,0.329,13.91,0,0,0,0,0,0,0.226
"Abundance.TargetLoc.2.small.5","rock","s(rock, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",707.049945090325,743.051368536547,0.094,1.518,0.216,0.164,0.323,14.8,0,0,0,0,1,0,0.442
"Abundance.TargetLoc.2.small.6","Status","Status + s(Site, Location, bs = ""re"")",707.317634360473,742.185656496043,0.362,0.652,0.189,0.253,0.321,14.09,0,0,0,0,0,1,0.631
"Abundance.TargetLoc.2.small.9","rock+Status","s(rock, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",707.479307390961,743.795033855818,0.523,2.261,0.174,0.113,0.317,15.01,0,0,0,0,1,1,0.805
"School.Total","Status+rock.by.Status","s(rock, by = Status, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",956.239914571237,995.283345648949,0,0,0.564,0.384,0.285,16.97,0,0,0,0,1,1,0.564
"Number.of.schools.10","Status+rock.by.Status","s(rock, by = Status, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",481.404810572038,520.420124408156,0,3.057,0.292,0.079,0.249,15.79,0,0,0,0,1,1,0.292
"Number.of.schools.5","rock","s(rock, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",482.667321286137,520.15434445289,1.263,2.792,0.155,0.09,0.202,14.82,0,0,0,0,1,0,0.447
