"","reef","sd.relief","mean.relief","Status"
"Total.Abundance",0.381,0.015,0.012,0.342
"Species.Richness",0.216,0.057,0.016,0.216
"Abundance.TargetLoc.0.large",0.038,0.037,0.106,0.384
"Abundance.TargetLoc.1.large",0.082,0.058,0.366,0.172
"Abundance.TargetLoc.2.large",0.168,0.063,0.187,0.205
"Abundance.TargetLoc.0.small",0.995,0,0.005,0.995
"Abundance.TargetLoc.1.small",0.139,0,0,0.499
"Abundance.TargetLoc.2.small",0.241,0.007,0.069,0.221
"School.Total",0.381,0.015,0.012,0.342
"Number.of.schools",0.15,0.108,0.019,0.277
