"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","mean.relief","sd.relief","hard.corals","rock","min.length","school.size","Status"
"response.min.length.by.Status+rock+Status","min.length.by.Status+rock+Status",64236.2511249609,64364.2718479143,0.31483,NA,19.49,0,0,0,0.856,0.544,0,0,0,1,1,0,1
"response.min.length.by.Status+rock.by.Status+Status","min.length.by.Status+rock.by.Status+Status",64239.8871652406,64378.6949407041,0.31481,NA,21.22,0,3.636,14.423,0.139,0,0,0,0,1,1,0,1
"response.min.length.by.Status+sd.relief.by.Status+Status","min.length.by.Status+sd.relief.by.Status+Status",64248.3910043944,64383.1527255719,0.31305,NA,20.57,0,12.14,18.881,0.002,0,0,1,0,0,1,0,1
"response.min.length+rock+school.size","min.length+rock+school.size",64249.0905333269,64375.8791709751,0.31247,NA,19.29,0,12.839,11.607,0.001,0.002,0,0,0,1,1,1,0
"response.min.length+rock+Status","min.length+rock+Status",64250.4115271018,64366.0775498515,0.31159,NA,17.51,0,14.16,1.806,0.001,0.221,0,0,0,1,1,0,1
"response.min.length+rock","min.length+rock",64250.6509414814,64367.7609062022,0.31163,NA,17.74,0,14.4,3.489,0.001,0.095,0,0,0,1,1,0,0
"response.mean.relief+min.length+school.size","mean.relief+min.length+school.size",64253.547246681,64374.0999557315,0.31131,NA,18.29,0,17.296,9.828,0,0.004,1,0,0,0,1,1,0
"response.min.length+rock.by.Status+Status","min.length+rock.by.Status+Status",64253.9305523921,64380.27880315,0.31159,NA,19.22,0,17.679,16.007,0,0,0,0,0,1,1,0,1
"response.mean.relief+min.length","mean.relief+min.length",64255.5222080654,64367.0744209043,0.31044,NA,16.85,0,19.271,2.803,0,0.134,1,0,0,0,1,0,0
"response.min.length+sd.relief.by.Status+Status","min.length+sd.relief.by.Status+Status",64261.9085176174,64384.4375962245,0.30993,NA,18.61,0,25.657,20.166,0,0,0,1,0,0,1,0,1
"response.min.length.by.Status+school.size+Status","min.length.by.Status+school.size+Status",64283.7560868939,64409.1880819522,0.30619,NA,19.08,0,47.505,44.916,0,0,0,0,0,0,1,1,1
"response.min.length.by.Status+sd.relief+Status","min.length.by.Status+sd.relief+Status",64283.8395102841,64406.8318728064,0.30603,NA,18.69,0,47.588,42.56,0,0,0,1,0,0,1,0,1
"response.hard.corals+min.length+school.size","hard.corals+min.length+school.size",64284.554296165,64407.6185256418,0.3059,NA,18.7,0,48.303,43.347,0,0,0,0,1,0,1,1,0
"response.min.length.by.Status+school.size.by.Status+Status","min.length.by.Status+school.size.by.Status+Status",64284.8409054962,64418.1428780513,0.30645,NA,20.34,0,48.59,53.871,0,0,0,0,0,0,1,1,1
"response.min.length.by.Status+Status","min.length.by.Status+Status",64285.2731282602,64402.157513102,0.30542,NA,17.71,0,49.022,37.886,0,0,0,0,0,0,1,0,1
"response.hard.corals+min.length","hard.corals+min.length",64286.6469524809,64400.5252035934,0.30499,NA,17.22,0,50.396,36.253,0,0,0,0,1,0,1,0,0
"response.hard.corals+min.length+sd.relief","hard.corals+min.length+sd.relief",64287.4873343502,64406.756805178,0.30515,NA,18.09,0,51.236,42.485,0,0,0,1,1,0,1,0,0
"response.min.length+school.size+sd.relief","min.length+school.size+sd.relief",64295.7906365453,64416.0608227721,0.30371,NA,18.25,0,59.54,51.789,0,0,0,1,0,0,1,1,0
"response.min.length+sd.relief+Status","min.length+sd.relief+Status",64297.2569694516,64407.9440116147,0.30289,NA,16.71,0,61.006,43.672,0,0,0,1,0,0,1,0,1
"response.min.length+sd.relief","min.length+sd.relief",64297.3605691914,64408.6835052184,0.30291,NA,16.81,0,61.109,44.412,0,0,0,1,0,0,1,0,0
"response.min.length+school.size+Status","min.length+school.size+Status",64297.425815101,64410.9128981231,0.30303,NA,17.16,0,61.175,46.641,0,0,0,0,0,0,1,1,1
"response.min.length+school.size","min.length+school.size",64297.5115683164,64411.5308005873,0.30304,NA,17.25,0,61.26,47.259,0,0,0,0,0,0,1,1,0
"response.min.length+Status","min.length+Status",64298.9070977985,64403.4917814075,0.30224,NA,15.74,0,62.656,39.22,0,0,0,0,0,0,1,0,1
"response.min.length","min.length",64298.9952913536,64404.1221951518,0.30225,NA,15.82,0,62.744,39.85,0,0,0,0,0,0,1,0,0
"response.min.length+school.size.by.Status+Status","min.length+school.size.by.Status+Status",64299.2363645839,64418.5862840772,0.30304,NA,18.1,0,62.985,54.314,0,0,0,0,0,0,1,1,1
"response.school.size+sd.relief.by.Status+Status","school.size+sd.relief.by.Status+Status",65264.040167855,65385.9185767953,0.10544,NA,18.51,0,1027.789,1021.647,0,0,0,1,0,0,0,1,1
"response.school.size.by.Status+sd.relief.by.Status+Status","school.size.by.Status+sd.relief.by.Status+Status",65265.002858624,65396.9121559815,0.10596,NA,20.12,0,1028.752,1032.64,0,0,0,1,0,0,0,1,1
"response.mean.relief+school.size","mean.relief+school.size",65272.6257057309,65382.2291064104,0.10251,NA,16.54,0,1036.375,1017.957,0,0,1,0,0,0,0,1,0
"response.rock+school.size+Status","rock+school.size+Status",65275.8110781139,65390.6357739738,0.10221,NA,17.38,0,1039.56,1026.364,0,0,0,0,0,1,0,1,1
"response.rock+school.size","rock+school.size",65276.0623119905,65392.3806720642,0.10223,NA,17.62,0,1039.811,1028.109,0,0,0,0,0,1,0,1,0
"response.rock.by.Status+school.size+Status","rock.by.Status+school.size+Status",65276.4979515709,65400.51644912,0.10276,NA,18.85,0,1040.247,1036.245,0,0,0,0,0,1,0,1,1
"response.rock+school.size.by.Status+Status","rock+school.size.by.Status+Status",65276.6528155711,65400.9852208352,0.10273,NA,18.9,0,1040.402,1036.713,0,0,0,0,0,1,0,1,1
"response.rock.by.Status+school.size.by.Status+Status","rock.by.Status+school.size.by.Status+Status",65277.2954755688,65410.7836999116,0.1033,NA,20.37,0,1041.044,1046.512,0,0,0,0,0,1,0,1,1
"response.hard.corals+school.size+sd.relief","hard.corals+school.size+sd.relief",65286.8424602673,65412.546784671,0.10044,NA,19.12,0,1050.591,1048.275,0,0,0,1,1,0,0,1,0
"response.hard.corals+school.size","hard.corals+school.size",65292.9614464338,65407.9921900896,0.09818,NA,17.41,0,1056.71,1043.72,0,0,0,0,1,0,0,1,0
"response.school.size+sd.relief","school.size+sd.relief",65294.4861728163,65409.264547261,0.09783,NA,17.37,0,1058.235,1044.993,0,0,0,1,0,0,0,1,0
"response.school.size+sd.relief+Status","school.size+sd.relief+Status",65294.4876266484,65409.1825902784,0.09782,NA,17.36,0,1058.237,1044.911,0,0,0,1,0,0,0,1,1
"response.school.size.by.Status+sd.relief+Status","school.size.by.Status+sd.relief+Status",65295.439569651,65419.5284186952,0.09831,NA,18.86,0,1059.188,1055.257,0,0,0,1,0,0,0,1,1
"response.school.size+Status","school.size+Status",65304.9143379681,65408.8753326107,0.09455,NA,15.64,0,1068.663,1044.603,0,0,0,0,0,0,0,1,1
"response.school.size","school.size",65305.027076648,65409.9563093964,0.09457,NA,15.79,0,1068.776,1045.684,0,0,0,0,0,0,0,1,0
"response.school.size.by.Status+Status","school.size.by.Status+Status",65306.0595861718,65419.2578530379,0.09498,NA,17.12,0,1069.808,1054.986,0,0,0,0,0,0,0,1,1
"response.sd.relief.by.Status+Status","sd.relief.by.Status+Status",65307.6159196279,65417.2821250283,0.09436,NA,16.55,0,1071.365,1053.01,0,0,0,1,0,0,0,0,1
"response.mean.relief","mean.relief",65316.9643117006,65414.416479378,0.09122,NA,14.59,0,1080.713,1050.145,0,0,1,0,0,0,0,0,0
"response.rock+Status","rock+Status",65319.3130273905,65421.9066221533,0.0911,NA,15.42,0,1083.062,1057.635,0,0,0,0,0,1,0,0,1
"response.rock","rock",65319.5696162965,65423.6914160771,0.09113,NA,15.66,0,1083.318,1059.42,0,0,0,0,0,1,0,0,0
"response.rock.by.Status+Status","rock.by.Status+Status",65320.2683591157,65432.0643221616,0.0916,NA,16.89,0,1084.017,1067.792,0,0,0,0,0,1,0,0,1
"response.hard.corals+sd.relief","hard.corals+sd.relief",65330.8028241971,65445.2719382181,0.08926,NA,17.32,0,1094.552,1081,0,0,0,1,1,0,0,0,0
"response.sd.relief","sd.relief",65336.9356982388,65439.5805117239,0.08692,NA,15.42,0,1100.685,1075.309,0,0,0,1,0,0,0,0,0
"response.sd.relief+Status","sd.relief+Status",65336.9381910063,65439.5072274242,0.08691,NA,15.41,0,1100.687,1075.235,0,0,0,1,0,0,0,0,1
"response.hard.corals","hard.corals",65337.211357761,65439.9714615495,0.08684,NA,15.44,0,1100.96,1075.7,0,0,0,0,1,0,0,0,0
"response.Status","Status",65347.3551869663,65439.1255162348,0.0836,NA,13.68,0,1111.104,1074.854,0,0,0,0,0,0,0,0,1
"response.null","null",65347.4472538474,65439.78203013,0.08361,NA,13.77,0,1111.196,1075.51,0,0,0,0,0,0,0,0,0
"NA.min.length.by.Status+rock+Status","min.length.by.Status+rock+Status",64236.2511249609,64364.2718479143,0.31483,NA,19.49,0,0,0,0.856,0.544,0,0,0,1,1,0,1
"NA.min.length.by.Status+rock.by.Status+Status","min.length.by.Status+rock.by.Status+Status",64239.8871652406,64378.6949407041,0.31481,NA,21.22,0,3.636,14.423,0.139,0,0,0,0,1,1,0,1
"NA.min.length.by.Status+sd.relief.by.Status+Status","min.length.by.Status+sd.relief.by.Status+Status",64248.3910043944,64383.1527255719,0.31305,NA,20.57,0,12.14,18.881,0.002,0,0,1,0,0,1,0,1
"NA.min.length+rock+school.size","min.length+rock+school.size",64249.0905333269,64375.8791709751,0.31247,NA,19.29,0,12.839,11.607,0.001,0.002,0,0,0,1,1,1,0
"NA.min.length+rock+Status","min.length+rock+Status",64250.4115271018,64366.0775498515,0.31159,NA,17.51,0,14.16,1.806,0.001,0.221,0,0,0,1,1,0,1
"NA.min.length+rock","min.length+rock",64250.6509414814,64367.7609062022,0.31163,NA,17.74,0,14.4,3.489,0.001,0.095,0,0,0,1,1,0,0
"NA.mean.relief+min.length+school.size","mean.relief+min.length+school.size",64253.547246681,64374.0999557315,0.31131,NA,18.29,0,17.296,9.828,0,0.004,1,0,0,0,1,1,0
"NA.min.length+rock.by.Status+Status","min.length+rock.by.Status+Status",64253.9305523921,64380.27880315,0.31159,NA,19.22,0,17.679,16.007,0,0,0,0,0,1,1,0,1
"NA.mean.relief+min.length","mean.relief+min.length",64255.5222080654,64367.0744209043,0.31044,NA,16.85,0,19.271,2.803,0,0.134,1,0,0,0,1,0,0
"NA.min.length+sd.relief.by.Status+Status","min.length+sd.relief.by.Status+Status",64261.9085176174,64384.4375962245,0.30993,NA,18.61,0,25.657,20.166,0,0,0,1,0,0,1,0,1
"NA.min.length.by.Status+school.size+Status","min.length.by.Status+school.size+Status",64283.7560868939,64409.1880819522,0.30619,NA,19.08,0,47.505,44.916,0,0,0,0,0,0,1,1,1
"NA.min.length.by.Status+sd.relief+Status","min.length.by.Status+sd.relief+Status",64283.8395102841,64406.8318728064,0.30603,NA,18.69,0,47.588,42.56,0,0,0,1,0,0,1,0,1
"NA.hard.corals+min.length+school.size","hard.corals+min.length+school.size",64284.554296165,64407.6185256418,0.3059,NA,18.7,0,48.303,43.347,0,0,0,0,1,0,1,1,0
"NA.min.length.by.Status+school.size.by.Status+Status","min.length.by.Status+school.size.by.Status+Status",64284.8409054962,64418.1428780513,0.30645,NA,20.34,0,48.59,53.871,0,0,0,0,0,0,1,1,1
"NA.min.length.by.Status+Status","min.length.by.Status+Status",64285.2731282602,64402.157513102,0.30542,NA,17.71,0,49.022,37.886,0,0,0,0,0,0,1,0,1
"NA.hard.corals+min.length","hard.corals+min.length",64286.6469524809,64400.5252035934,0.30499,NA,17.22,0,50.396,36.253,0,0,0,0,1,0,1,0,0
"NA.hard.corals+min.length+sd.relief","hard.corals+min.length+sd.relief",64287.4873343502,64406.756805178,0.30515,NA,18.09,0,51.236,42.485,0,0,0,1,1,0,1,0,0
"NA.min.length+school.size+sd.relief","min.length+school.size+sd.relief",64295.7906365453,64416.0608227721,0.30371,NA,18.25,0,59.54,51.789,0,0,0,1,0,0,1,1,0
"NA.min.length+sd.relief+Status","min.length+sd.relief+Status",64297.2569694516,64407.9440116147,0.30289,NA,16.71,0,61.006,43.672,0,0,0,1,0,0,1,0,1
"NA.min.length+sd.relief","min.length+sd.relief",64297.3605691914,64408.6835052184,0.30291,NA,16.81,0,61.109,44.412,0,0,0,1,0,0,1,0,0
"NA.min.length+school.size+Status","min.length+school.size+Status",64297.425815101,64410.9128981231,0.30303,NA,17.16,0,61.175,46.641,0,0,0,0,0,0,1,1,1
"NA.min.length+school.size","min.length+school.size",64297.5115683164,64411.5308005873,0.30304,NA,17.25,0,61.26,47.259,0,0,0,0,0,0,1,1,0
"NA.min.length+Status","min.length+Status",64298.9070977985,64403.4917814075,0.30224,NA,15.74,0,62.656,39.22,0,0,0,0,0,0,1,0,1
"NA.min.length","min.length",64298.9952913536,64404.1221951518,0.30225,NA,15.82,0,62.744,39.85,0,0,0,0,0,0,1,0,0
"NA.min.length+school.size.by.Status+Status","min.length+school.size.by.Status+Status",64299.2363645839,64418.5862840772,0.30304,NA,18.1,0,62.985,54.314,0,0,0,0,0,0,1,1,1
"NA.school.size+sd.relief.by.Status+Status","school.size+sd.relief.by.Status+Status",65264.040167855,65385.9185767953,0.10544,NA,18.51,0,1027.789,1021.647,0,0,0,1,0,0,0,1,1
"NA.school.size.by.Status+sd.relief.by.Status+Status","school.size.by.Status+sd.relief.by.Status+Status",65265.002858624,65396.9121559815,0.10596,NA,20.12,0,1028.752,1032.64,0,0,0,1,0,0,0,1,1
"NA.mean.relief+school.size","mean.relief+school.size",65272.6257057309,65382.2291064104,0.10251,NA,16.54,0,1036.375,1017.957,0,0,1,0,0,0,0,1,0
"NA.rock+school.size+Status","rock+school.size+Status",65275.8110781139,65390.6357739738,0.10221,NA,17.38,0,1039.56,1026.364,0,0,0,0,0,1,0,1,1
"NA.rock+school.size","rock+school.size",65276.0623119905,65392.3806720642,0.10223,NA,17.62,0,1039.811,1028.109,0,0,0,0,0,1,0,1,0
"NA.rock.by.Status+school.size+Status","rock.by.Status+school.size+Status",65276.4979515709,65400.51644912,0.10276,NA,18.85,0,1040.247,1036.245,0,0,0,0,0,1,0,1,1
"NA.rock+school.size.by.Status+Status","rock+school.size.by.Status+Status",65276.6528155711,65400.9852208352,0.10273,NA,18.9,0,1040.402,1036.713,0,0,0,0,0,1,0,1,1
"NA.rock.by.Status+school.size.by.Status+Status","rock.by.Status+school.size.by.Status+Status",65277.2954755688,65410.7836999116,0.1033,NA,20.37,0,1041.044,1046.512,0,0,0,0,0,1,0,1,1
"NA.hard.corals+school.size+sd.relief","hard.corals+school.size+sd.relief",65286.8424602673,65412.546784671,0.10044,NA,19.12,0,1050.591,1048.275,0,0,0,1,1,0,0,1,0
"NA.hard.corals+school.size","hard.corals+school.size",65292.9614464338,65407.9921900896,0.09818,NA,17.41,0,1056.71,1043.72,0,0,0,0,1,0,0,1,0
"NA.school.size+sd.relief","school.size+sd.relief",65294.4861728163,65409.264547261,0.09783,NA,17.37,0,1058.235,1044.993,0,0,0,1,0,0,0,1,0
