"","X.2","X.1","X","Depth","Location","Status","Site","Sample","PeriodLength","mean.relief","sd.relief","rock","macroalgae","hard.corals","sand","reef","Metric","response"
"1",1,1,1,1.5,"Pihaena","No-take","PIL1","PIL1.1",3.6106,1.59259259259259,0.809257615684121,0.0925925925925926,0.203703703703704,0.37037037037037,0.333333333333333,0.666666666666667,"Total.Abundance",57
"2",2,2,2,1.5,"Pihaena","No-take","PIL1","PIL1.2",3.3478,1.31192660550459,0.997192797830415,0.100917431192661,0.155963302752294,0.256880733944954,0.486238532110092,0.513761467889908,"Total.Abundance",44
"3",3,3,3,1.5,"Pihaena","No-take","PIL1","PIL1.3",3.3625,1.44827586206897,1.04127703857545,0.206896551724138,0.163793103448276,0.181034482758621,0.448275862068966,0.551724137931034,"Total.Abundance",64
"4",4,4,4,1.5,"Pihaena","No-take","PIL1","PIL1.4",3.5825,1.90434782608696,0.917413536663812,0.226086956521739,0.121739130434783,0.365217391304348,0.28695652173913,0.71304347826087,"Total.Abundance",86
"5",5,5,5,1.5,"Pihaena","No-take","PIL1","PIL1.5",4.512,2.07936507936508,0.765278245901968,0.23015873015873,0.373015873015873,0.222222222222222,0.174603174603175,0.825396825396825,"Total.Abundance",171
"6",6,6,6,1.5,"Pihaena","No-take","PIL1","PIL1.6",3.5319,1.81443298969072,0.83329037689972,0.45360824742268,0.0927835051546392,0.237113402061856,0.216494845360825,0.783505154639175,"Total.Abundance",136
"7",7,7,7,1,"Pihaena","No-take","PIL2","PIL2.1",3.2021,1.51851851851852,0.936897954837013,0.209876543209877,0.0864197530864197,0.234567901234568,0.469135802469136,0.530864197530864,"Total.Abundance",51
"8",8,8,8,1,"Pihaena","No-take","PIL2","PIL2.2",2.6749,1.59574468085106,0.953985966581148,0.276595744680851,0.180851063829787,0.191489361702128,0.351063829787234,0.648936170212766,"Total.Abundance",56
"9",9,9,9,1,"Pihaena","No-take","PIL2","PIL2.3",4.0393,1.84615384615385,0.815954957928868,0.384615384615385,0.162393162393162,0.222222222222222,0.230769230769231,0.769230769230769,"Total.Abundance",82
"10",10,10,10,1,"Pihaena","No-take","PIL2","PIL2.4",2.7864,1.58904109589041,0.830589088779031,0.219178082191781,0.246575342465753,0.219178082191781,0.315068493150685,0.684931506849315,"Total.Abundance",43
"11",11,11,11,1,"Pihaena","No-take","PIL2","PIL2.5",3.1312,1.82178217821782,0.876310899212836,0.099009900990099,0.227722772277228,0.435643564356436,0.237623762376238,0.762376237623762,"Total.Abundance",60
"12",12,12,12,1,"Pihaena","No-take","PIL2","PIL2.6",4.1656,2.01980198019802,1.06752234655582,0.257425742574257,0.356435643564356,0.0891089108910891,0.297029702970297,0.702970297029703,"Total.Abundance",50
"13",13,13,13,2.2,"Pihaena","Fished","POL3W","POL3W.1",2.0718,1.80666666666667,1.26223763526315,0.5,0.12,0.0866666666666667,0.293333333333333,0.706666666666667,"Total.Abundance",97
"14",14,14,14,2.2,"Pihaena","Fished","POL3W","POL3W.2",2.0901,1.84563758389262,0.867777778680983,0.583892617449664,0.0469798657718121,0.221476510067114,0.147651006711409,0.852348993288591,"Total.Abundance",116
"15",15,15,15,2.2,"Pihaena","Fished","POL3W","POL3W.3",1.9528,1.68275862068966,0.761061468862387,0.744827586206897,0.0206896551724138,0.137931034482759,0.096551724137931,0.903448275862069,"Total.Abundance",127
"16",16,16,16,2.2,"Pihaena","Fished","POL3W","POL3W.4",2.3307,1.4,1.00531133862797,0.458823529411765,0.0941176470588235,0.111764705882353,0.335294117647059,0.664705882352941,"Total.Abundance",142
"17",17,17,17,2.2,"Pihaena","Fished","POL3W","POL3W.5",2.2589,1.60666666666667,0.850555812487693,0.446666666666667,0.08,0.286666666666667,0.186666666666667,0.813333333333333,"Total.Abundance",100
"18",18,18,18,2.2,"Pihaena","Fished","POL3W","POL3W.6",1.9022,1.4578313253012,0.828305386799251,0.560240963855422,0.0180722891566265,0.240963855421687,0.180722891566265,0.819277108433735,"Total.Abundance",99
