"","modname","AICc","BIC","delta.AICc","delta.BIC","wi.AICc","wi.BIC","r2.vals","edf","edf.less.1","Depth","mean.relief","sd.relief","rock","macroalgae","hard.corals","sand","reef","Status"
"Total.Abundance.28","Status+rock.by.Status",956.239914571224,995.283345648895,0,0,0.208,0.169,0.571,16.97,0,0,0,0,1,0,0,0,0,1
"Total.Abundance.38","Depth+Status+rock.by.Status",956.308042300575,995.562449929305,0.068,0.279,0.201,0.147,0.573,17.14,0,1,0,0,1,0,0,0,0,1
"Total.Abundance.45","Status+Depth.by.Status+rock.by.Status",956.654491493728,996.175010131089,0.415,0.892,0.169,0.108,0.574,17.27,0,1,0,0,1,0,0,0,0,1
"Total.Abundance.5","rock",958.442584286065,995.808950047572,2.203,0.526,0.069,0.13,0.545,15.81,0,0,0,0,1,0,0,0,0,0
"Total.Abundance.20","rock+Status",958.551491946994,996.058619491144,2.312,0.775,0.066,0.115,0.546,15.91,0,0,0,0,1,0,0,0,0,1
"Total.Abundance.13","Depth+rock",958.68031457054,996.271541072175,2.44,0.988,0.061,0.103,0.546,15.96,0,1,0,0,1,0,0,0,0,0
"Total.Abundance.35","Depth+rock+Status",958.797477323787,996.524808702709,2.558,1.241,0.058,0.091,0.547,16.06,0,1,0,0,1,0,0,0,0,1
"Total.Abundance.41","rock+Status+Depth.by.Status",959.204323417976,997.234119717718,2.964,1.951,0.047,0.064,0.548,16.21,0,1,0,0,1,0,0,0,0,1
"Species.Richness.5","rock",604.763346059364,641.757909212427,0,0,0.184,0.273,-0.192,15.48,0,0,0,0,1,0,0,0,0,0
"Species.Richness.13","Depth+rock",605.077955741493,642.359319052478,0.315,0.601,0.157,0.202,-0.189,15.68,0,1,0,0,1,0,0,0,0,0
"Species.Richness.28","Status+rock.by.Status",605.178893568679,643.498918672944,0.416,1.741,0.149,0.114,-0.172,16.36,0,0,0,0,1,0,0,0,0,1
"Species.Richness.38","Depth+Status+rock.by.Status",605.64081844477,644.33894854397,0.877,2.581,0.119,0.075,-0.168,16.64,0,1,0,0,1,0,0,0,0,1
"Species.Richness.19","rock+macroalgae",607.85708151697,645.978843508961,3.094,4.221,0.039,0.033,-0.203,16.16,0,0,0,0,1,1,0,0,0,0
"Species.Richness.44","macroalgae+Status+rock.by.Status",607.993508196091,647.396431734857,3.23,5.639,0.037,0.016,-0.179,17.06,0,0,0,0,1,1,0,0,0,1
"Species.Richness.34","Depth+rock+macroalgae",608.155523033996,646.587702506734,3.392,4.83,0.034,0.024,-0.199,16.4,0,1,0,0,1,1,0,0,0,0
"Species.Richness.35","Depth+rock+Status",608.298358034593,647.284703193813,3.535,5.527,0.031,0.017,-0.188,15.82,0,1,0,0,1,0,0,0,0,1
"Species.Richness.41","rock+Status+Depth.by.Status",608.346433720204,647.640733492442,3.583,5.883,0.031,0.014,-0.18,16.14,0,1,0,0,1,0,0,0,0,1
"Species.Richness.45","Status+Depth.by.Status+rock.by.Status",608.371939954939,648.442681964286,3.609,6.685,0.03,0.01,-0.162,16.89,0,1,0,0,1,0,0,0,0,1
"Species.Richness.20","rock+Status",608.434591327497,647.348968947238,3.671,5.591,0.029,0.017,-0.191,15.6,0,0,0,0,1,0,0,0,0,1
"Abundance.Chlorurus sordidus.large.45","Status+Depth.by.Status+rock.by.Status",554.127296309574,593.299104591283,0,0,0.35,0.307,0.565,16.9,0,1,0,0,1,0,0,0,0,1
"Abundance.Chlorurus sordidus.large.38","Depth+Status+rock.by.Status",554.458648998772,593.629085436739,0.331,0.33,0.296,0.261,0.564,16.91,0,1,0,0,1,0,0,0,0,1
"Abundance.Chlorurus sordidus.large.28","Status+rock.by.Status",555.265190480229,594.433482607914,1.138,1.134,0.198,0.174,0.56,16.86,0,0,0,0,1,0,0,0,0,1
"Abundance.Chlorurus sordidus.small.2","Depth",573.16884854161,607.129333716176,0,0,0.09,0.157,0.36,13.48,0,1,0,0,0,0,0,0,0,0
"Abundance.Chlorurus sordidus.small.10","Status",573.628395826338,607.726755419638,0.46,0.597,0.071,0.116,0.359,13.55,0,0,0,0,0,0,0,0,0,1
"Abundance.Chlorurus sordidus.small.16","Depth+Status",573.750688639904,608.080233293009,0.582,0.951,0.067,0.097,0.361,13.68,0,1,0,0,0,0,0,0,0,1
"Abundance.Chlorurus sordidus.small.27","Status+Depth.by.Status",574.286244740405,609.012939589906,1.117,1.884,0.051,0.061,0.362,13.9,0,1,0,0,0,0,0,0,0,1
"Abundance.Chlorurus sordidus.small.5","rock",574.39866196491,609.354735676774,1.23,2.225,0.048,0.052,0.363,14.08,0,0,0,0,1,0,0,0,0,0
"Abundance.Chlorurus sordidus.small.13","Depth+rock",574.597263965821,609.840106777676,1.428,2.711,0.044,0.04,0.365,14.27,0,1,0,0,1,0,0,0,0,0
"Abundance.Chlorurus sordidus.small.9","reef",574.790363850735,609.907153300997,1.622,2.778,0.04,0.039,0.362,14.21,0,0,0,0,0,0,0,0,1,0
"Abundance.Chlorurus sordidus.small.8","sand",574.964041864125,610.073870532272,1.795,2.945,0.037,0.036,0.361,14.2,0,0,0,0,0,0,0,1,0,0
"Abundance.Chlorurus sordidus.small.20","rock+Status",575.007377644465,610.36289843977,1.839,3.234,0.036,0.031,0.364,14.32,0,0,0,0,1,0,0,0,0,1
"Abundance.Chlorurus sordidus.small.4","sd.relief",575.036446766445,610.169822658884,1.868,3.04,0.035,0.034,0.361,14.22,0,0,0,1,0,0,0,0,0,0
"Abundance.Chlorurus sordidus.small.35","Depth+rock+Status",575.208948788926,610.858887273052,2.04,3.73,0.032,0.024,0.366,14.52,0,1,0,0,1,0,0,0,0,1
"Abundance.Chlorurus sordidus.small.12","Depth+sd.relief",575.334411740976,610.713805411503,2.166,3.584,0.03,0.026,0.362,14.36,0,1,0,1,0,0,0,0,0,0
"Abundance.Chlorurus sordidus.small.26","reef+Status",575.349795533737,610.762576147738,2.181,3.633,0.03,0.025,0.362,14.37,0,0,0,0,0,0,0,0,1,1
"Abundance.Chlorurus sordidus.small.25","sand+Status",575.553369794741,610.96002856547,2.385,3.831,0.027,0.023,0.361,14.35,0,0,0,0,0,0,0,1,0,1
"Abundance.Chlorurus sordidus.small.7","hard.corals",575.582081114831,610.785234353737,2.413,3.656,0.027,0.025,0.359,14.25,0,0,0,0,0,0,1,0,0,0
"Abundance.Chlorurus sordidus.small.6","macroalgae",575.728827398282,610.662468073334,2.56,3.533,0.025,0.027,0.355,14.03,0,0,0,0,0,1,0,0,0,0
"Abundance.Chlorurus sordidus.small.15","Depth+hard.corals",575.729106844856,611.127997995289,2.56,3.999,0.025,0.021,0.36,14.37,0,1,0,0,0,0,1,0,0,0
"Abundance.Chlorurus sordidus.small.14","Depth+macroalgae",575.889670591783,610.969372289647,2.721,3.84,0.023,0.023,0.356,14.12,0,1,0,0,0,1,0,0,0,0
"Abundance.Chlorurus sordidus.small.41","rock+Status+Depth.by.Status",575.962557355568,612.12319400724,2.794,4.994,0.022,0.013,0.367,14.84,0,1,0,0,1,0,0,0,0,1
"Abundance.Chlorurus sordidus.small.22","macroalgae+Status",576.296577900637,611.619193158829,3.128,4.49,0.019,0.017,0.356,14.25,0,0,0,0,0,1,0,0,0,1
"Abundance.Chlorurus sordidus.small.37","Depth+macroalgae+Status",576.434134267035,611.929435248834,3.265,4.8,0.018,0.014,0.357,14.36,0,1,0,0,0,1,0,0,0,1
"Abundance.Chlorurus sordidus.small.17","sd.relief+rock",576.78886636756,613.073057018413,3.62,5.944,0.015,0.008,0.364,14.93,0,0,0,1,1,0,0,0,0,0
"Abundance.Chlorurus sordidus.small.24","hard.corals+reef",576.913262174123,613.421456392312,3.744,6.292,0.014,0.007,0.365,15.09,0,0,0,0,0,0,1,0,1,0
"Abundance.Chlorurus sordidus.small.32","Depth+sd.relief+rock",577.086536178724,613.654232108613,3.918,6.525,0.013,0.006,0.365,15.11,0,1,0,1,1,0,0,0,0,0
"Abundance.Chlorurus sordidus.small.23","hard.corals+sand",577.163203230395,613.656043042773,3.994,6.527,0.012,0.006,0.364,15.08,0,0,0,0,0,0,1,1,0,0
"Abundance.Ctenochaetus striatus.large.3","mean.relief",573.395736934928,612.482267082341,0,0,0.186,0.176,0.82,16.88,0,0,1,0,0,0,0,0,0,0
"Abundance.Ctenochaetus striatus.large.11","Depth+mean.relief",573.459691039542,612.676648869517,0.064,0.194,0.18,0.159,0.821,16.91,0,1,1,0,0,0,0,0,0,0
"Abundance.Ctenochaetus striatus.large.5","rock",575.413964509547,613.297421636818,2.018,0.815,0.068,0.117,0.812,16.17,0,0,0,0,1,0,0,0,0,0
"Abundance.Ctenochaetus striatus.large.20","rock+Status",575.463445895779,613.471600764493,2.068,0.989,0.066,0.107,0.812,16.27,0,0,0,0,1,0,0,0,0,1
"Abundance.Ctenochaetus striatus.large.17","sd.relief+rock",575.751274808521,615.034443249186,2.356,2.552,0.057,0.049,0.817,17.17,0,0,0,1,1,0,0,0,0,0
"Abundance.Ctenochaetus striatus.large.41","rock+Status+Depth.by.Status",575.835201684036,614.042795357714,2.439,1.561,0.055,0.08,0.812,16.27,0,1,0,0,1,0,0,0,0,1
"Abundance.Ctenochaetus striatus.large.9","reef",576.284376851011,615.586978642025,2.889,3.105,0.044,0.037,0.816,16.88,0,0,0,0,0,0,0,0,1,0
"Abundance.Ctenochaetus striatus.large.8","sand",576.387434710436,615.697470590048,2.992,3.215,0.042,0.035,0.816,16.89,0,0,0,0,0,0,0,1,0,0
"Abundance.Ctenochaetus striatus.large.26","reef+Status",576.523520242798,615.973791925416,3.128,3.492,0.039,0.031,0.816,16.99,0,0,0,0,0,0,0,0,1,1
"Abundance.Ctenochaetus striatus.large.25","sand+Status",576.625399499371,616.080134863857,3.23,3.598,0.037,0.029,0.816,16.99,0,0,0,0,0,0,0,1,0,1
"Abundance.Ctenochaetus striatus.large.35","Depth+rock+Status",576.676186409201,615.322676641331,3.28,2.84,0.036,0.042,0.812,16.35,0,1,0,0,1,0,0,0,0,1
"Abundance.Ctenochaetus striatus.large.28","Status+rock.by.Status",576.693030468532,616.13202583087,3.297,3.65,0.036,0.028,0.816,17.28,0,0,0,0,1,0,0,0,0,1
"Abundance.Ctenochaetus striatus.large.13","Depth+rock",576.847759564252,615.476634987025,3.452,2.994,0.033,0.039,0.812,16.26,0,1,0,0,1,0,0,0,0,0
"Abundance.Ctenochaetus striatus.large.45","Status+Depth.by.Status+rock.by.Status",576.863157852218,616.42468344718,3.467,3.942,0.033,0.024,0.816,17.29,0,1,0,0,1,0,0,0,0,1
"Abundance.Ctenochaetus striatus.large.32","Depth+sd.relief+rock",577.276586747536,617.276817460026,3.881,4.795,0.027,0.016,0.817,17.25,0,1,0,1,1,0,0,0,0,0
"Abundance.Ctenochaetus striatus.small","null",317.002689501614,324.4348645108,0,0,1,1,-0.063,1,0,0,0,0,0,0,0,0,0,0
"Abundance.TargetLoc.0.large.28","Status+rock.by.Status",600.118357729471,640.58867942251,0,3.76,0.068,0.027,0.314,17.3,0,0,0,0,1,0,0,0,0,1
"Abundance.TargetLoc.0.large.20","rock+Status",600.160543634148,639.29349681331,0.042,2.465,0.066,0.052,0.292,16.32,0,0,0,0,1,0,0,0,0,1
"Abundance.TargetLoc.0.large.38","Depth+Status+rock.by.Status",600.359887426535,641.110539795114,0.242,4.282,0.06,0.021,0.317,17.5,0,1,0,0,1,0,0,0,0,1
"Abundance.TargetLoc.0.large.41","rock+Status+Depth.by.Status",600.454640407446,640.040467001954,0.336,3.212,0.057,0.036,0.297,16.65,0,1,0,0,1,0,0,0,0,1
"Abundance.TargetLoc.0.large.35","Depth+rock+Status",600.472196260127,639.883189357432,0.354,3.055,0.057,0.039,0.294,16.5,0,1,0,0,1,0,0,0,0,1
"Abundance.TargetLoc.0.large.45","Status+Depth.by.Status+rock.by.Status",600.502138554311,641.459540763459,0.384,4.631,0.056,0.018,0.32,17.63,0,1,0,0,1,0,0,0,0,1
"Abundance.TargetLoc.0.large.44","macroalgae+Status+rock.by.Status",600.621052977908,643.578764930706,0.503,6.75,0.053,0.006,0.356,18.85,0,0,0,0,1,1,0,0,0,1
"Abundance.TargetLoc.0.large.10","Status",600.758910690455,636.82859489827,0.641,0,0.049,0.177,0.241,14.87,0,0,0,0,0,0,0,0,0,1
"Abundance.TargetLoc.0.large.40","rock+macroalgae+Status",600.805430155421,642.626579365698,0.687,5.798,0.048,0.01,0.333,17.9,0,0,0,0,1,1,0,0,0,1
"Abundance.TargetLoc.0.large.5","rock",601.008648041488,640.445956809995,0.89,3.617,0.043,0.029,0.291,16.44,0,0,0,0,1,0,0,0,0,0
"Abundance.TargetLoc.0.large.16","Depth+Status",601.015151640203,637.320358517087,0.897,0.492,0.043,0.139,0.243,15,0,1,0,0,0,0,0,0,0,1
"Abundance.TargetLoc.0.large.27","Status+Depth.by.Status",601.285842302669,637.731472001288,1.167,0.903,0.038,0.113,0.243,15.02,0,1,0,0,0,0,0,0,0,1
"Abundance.TargetLoc.0.large.2","Depth",601.306091759672,637.804509419188,1.188,0.976,0.037,0.109,0.243,15.08,0,1,0,0,0,0,0,0,0,0
"Abundance.TargetLoc.0.large.13","Depth+rock",601.363264564168,641.065066723918,1.245,4.236,0.036,0.021,0.293,16.58,0,1,0,0,1,0,0,0,0,0
"Abundance.TargetLoc.0.large.34","Depth+rock+macroalgae",601.832816095194,643.971599322789,1.714,7.143,0.029,0.005,0.333,18.17,0,1,0,0,1,1,0,0,0,0
"Abundance.TargetLoc.0.large.22","macroalgae+Status",601.912936894578,640.983050245469,1.795,4.154,0.028,0.022,0.279,16.35,0,0,0,0,0,1,0,0,0,1
"Abundance.TargetLoc.0.large.19","rock+macroalgae",602.04565587193,644.147313117034,1.927,7.319,0.026,0.005,0.33,18.02,0,0,0,0,1,1,0,0,0,0
