"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","reef","sd.relief","hard.corals","mean.relief","status","cumsum.wi"
"total.abundance","hard.corals+reef",965.32350475235,1006.00968711546,0.29511,NA,17.7,0,0,0,0.704,0.308,1,0,1,0,0,0.704
"species.richness.status","status",621.550443112452,657.419790333868,0.14816,NA,14.84,0,0,0,0.195,0.298,0,0,0,0,1,0.195
"species.richness.null","null",621.596257837925,657.503179815416,0.15664,NA,14.89,0,0.046,0.083,0.191,0.286,0,0,0,0,0,0.386
"species.richness.hard.corals","hard.corals",622.10128183265,659.377739337283,0.14031,NA,15.77,0,0.551,1.958,0.148,0.112,0,0,1,0,0,0.534
"species.richness.reef","reef",622.233251862675,659.44009736618,0.18705,NA,15.72,0,0.683,2.02,0.139,0.108,1,0,0,0,0,0.673
"species.richness.reef+status","reef+status",622.241523998834,659.316012956941,0.18159,NA,15.57,0,0.691,1.896,0.138,0.115,1,0,0,0,1,0.811
"species.richness.hard.corals+reef","hard.corals+reef",624.067254081483,664.340038271983,0.17616,NA,16.76,0,2.517,6.92,0.055,0.009,1,0,1,0,0,0.866
"species.richness.sd.relief","sd.relief",624.34898985027,661.600144028119,0.15305,NA,15.77,0,2.799,4.18,0.048,0.037,0,1,0,0,0,0.914
"large","hard.corals+reef",858.01844324598,899.267295048601,0.50339,NA,18,0,0,0,0.688,0.277,1,0,1,0,0,0.688
"small.null","null",721.778329762089,756.491773399739,0.3658,NA,13.99,0,0,0,0.3,0.42,0,0,0,0,0,0.3
"small.status","status",722.048287825863,757.009785145517,0.35663,NA,14.16,0,0.27,0.518,0.262,0.324,0,0,0,0,1,0.562
"small.reef","reef",723.213496553624,759.457586149564,0.37591,NA,14.94,0,1.435,2.966,0.147,0.095,1,0,0,0,0,0.709
"small.reef+status","reef+status",723.316610453071,759.78673361121,0.36771,NA,15.1,0,1.538,3.295,0.139,0.081,1,0,0,0,1,0.848
"small.sd.relief","sd.relief",724.268604095399,760.341934575767,0.36828,NA,14.85,0,2.49,3.85,0.086,0.061,0,1,0,0,0,0.934
"abundance.targetloc.0.large.status","status",602.131748338275,638.187766002625,0.3618,NA,14.85,0,0,0,0.342,0.445,0,0,0,0,1,0.342
"abundance.targetloc.0.large.null","null",602.227483516368,638.396379859679,0.37051,NA,14.96,0,0.096,0.209,0.326,0.401,0,0,0,0,0,0.668
"abundance.targetloc.0.large.hard.corals","hard.corals",604.243248715315,641.834059880886,0.36336,NA,15.87,0,2.112,3.646,0.119,0.072,0,0,1,0,0,0.787
"abundance.targetloc.0.large.mean.relief","mean.relief",604.823588623432,642.342819441924,0.37485,NA,15.85,0,2.692,4.155,0.089,0.056,0,0,0,1,0,0.876
"abundance.targetloc.1.large.hard.corals+reef","hard.corals+reef",575.751940012316,617.082104149756,0.09937,NA,16.95,0,0,4.693,0.353,0.031,1,0,1,0,0,0.353
"abundance.targetloc.1.large.mean.relief","mean.relief",577.307040530133,612.999674521735,0.07978,NA,14.26,0,1.555,0.61,0.162,0.242,0,0,0,1,0,0.515
"abundance.targetloc.1.large.hard.corals","hard.corals",577.581401381245,615.373901371339,0.08346,NA,15.29,0,1.829,2.985,0.142,0.074,0,0,1,0,0,0.657
